index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2889770000,127.1076511667,-0.015,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2889766667,127.1076495000,-0.162,-0.037,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2889773333,127.1076480000,-0.295,0.037,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2889783333,127.1076460000,-0.472,0.148,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2889790000,127.1076440000,-0.649,0.223,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2889793333,127.1076423333,-0.797,0.260,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2889796667,127.1076405000,-0.959,0.297,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2889805000,127.1076381667,-1.166,0.390,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2889813333,127.1076365000,-1.314,0.482,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2889821667,127.1076346667,-1.476,0.575,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2889828333,127.1076326667,-1.653,0.649,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2889833333,127.1076308333,-1.816,0.705,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2889838333,127.1076286667,-2.007,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2889843333,127.1076268333,-2.170,0.816,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2889850000,127.1076248333,-2.347,0.891,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2889856667,127.1076228333,-2.524,0.965,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2889863333,127.1076208333,-2.701,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2889870000,127.1076188333,-2.878,1.113,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2889875000,127.1076168333,-3.055,1.169,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2889880000,127.1076146667,-3.247,1.225,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2889886667,127.1076126667,-3.425,1.299,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2889893333,127.1076105000,-3.616,1.373,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2889903333,127.1076085000,-3.794,1.484,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2889910000,127.1076065000,-3.971,1.558,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2889915000,127.1076043333,-4.163,1.614,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2889918333,127.1076018333,-4.384,1.651,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2889923333,127.1075998333,-4.561,1.707,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2889930000,127.1075976667,-4.753,1.781,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2889938333,127.1075953333,-4.960,1.874,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2889945000,127.1075931667,-5.152,1.948,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2889950000,127.1075908333,-5.358,2.004,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2889953333,127.1075885000,-5.565,2.041,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2889960000,127.1075861667,-5.771,2.115,0.000,0.000,0.000,1,1,2.00,0,NONE
