index,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,event,source_segment_id,source_point_index
0,0.000,-0.000,0.000,1,1,2.00,NONE,SEG01,0
1,0.200,0.001,0.141,1,1,2.00,NONE,SEG01,1
2,0.400,0.001,0.290,1,1,2.00,NONE,SEG01,1
3,0.600,0.001,0.540,1,1,2.00,NONE,SEG01,2
4,0.800,-0.000,0.771,1,1,2.00,NONE,SEG01,2
5,1.000,0.003,0.675,1,1,2.00,NONE,SEG01,2
6,1.200,0.005,0.578,1,1,2.00,NONE,SEG01,3
7,1.400,0.008,0.481,1,1,2.00,NONE,SEG01,3
8,1.600,0.011,0.384,1,1,2.00,NONE,SEG01,3
9,1.800,0.012,0.439,1,1,2.00,NONE,SEG01,3
10,2.000,0.013,0.510,1,1,2.00,NONE,SEG01,3
11,2.200,0.015,0.580,1,1,2.00,NONE,SEG01,4
12,2.400,0.016,0.650,1,1,2.00,NONE,SEG01,4
13,2.600,0.018,0.715,1,1,2.00,NONE,SEG01,4
14,2.800,0.021,0.883,1,1,2.00,NONE,SEG01,4
15,3.000,0.023,1.050,1,1,2.00,NONE,SEG01,5
16,3.200,0.025,1.218,1,1,2.00,NONE,SEG01,5
17,3.400,0.028,1.335,1,1,2.00,NONE,SEG01,5
18,3.600,0.033,1.452,1,1,2.00,NONE,SEG01,5
19,3.800,0.038,1.615,1,1,2.00,NONE,SEG01,6
20,4.000,0.042,1.778,1,1,2.00,NONE,SEG01,6
21,4.200,0.047,1.940,1,1,2.00,NONE,SEG01,6
22,4.400,0.053,1.987,1,1,2.00,NONE,SEG01,6
23,4.599,0.060,2.214,1,1,2.00,NONE,SEG01,6
24,4.799,0.067,2.442,1,1,2.00,NONE,SEG01,7
25,4.999,0.074,2.669,1,1,2.00,NONE,SEG01,7
26,5.199,0.081,2.895,1,1,2.00,NONE,SEG01,7
27,5.399,0.091,2.873,1,1,2.00,NONE,SEG01,7
28,5.599,0.101,2.805,1,1,2.00,NONE,SEG01,7
29,5.798,0.111,2.737,1,1,2.00,NONE,SEG01,8
30,5.998,0.121,2.668,1,1,2.00,NONE,SEG01,8
31,6.198,0.131,2.623,1,1,2.00,NONE,SEG01,8
32,6.398,0.140,2.538,1,1,2.00,NONE,SEG01,8
33,6.597,0.149,2.406,1,1,2.00,NONE,SEG01,8
34,6.797,0.159,2.274,1,1,2.00,NONE,SEG01,9
35,6.997,0.168,2.142,1,1,2.00,NONE,SEG01,9
36,7.197,0.176,2.094,1,1,2.00,NONE,SEG01,9
37,7.397,0.183,1.969,1,1,2.00,NONE,SEG01,9
38,7.596,0.190,1.824,1,1,2.00,NONE,SEG01,10
39,7.796,0.198,1.679,1,1,2.00,NONE,SEG01,10
40,7.996,0.205,1.535,1,1,2.00,NONE,SEG01,10
41,8.196,0.210,1.515,1,1,2.00,NONE,SEG01,10
42,8.396,0.216,1.508,1,1,2.00,NONE,SEG01,10
43,8.596,0.221,1.499,1,1,2.00,NONE,SEG01,11
44,8.796,0.226,1.490,1,1,2.00,NONE,SEG01,11
45,8.996,0.232,1.481,1,1,2.00,NONE,SEG01,11
46,9.196,0.237,1.480,1,1,2.00,NONE,SEG01,11
47,9.396,0.242,1.293,1,1,2.00,NONE,SEG01,11
48,9.596,0.247,1.014,1,1,2.00,NONE,SEG01,12
49,9.796,0.252,0.735,1,1,2.00,NONE,SEG01,12
50,9.996,0.257,0.457,1,1,2.00,NONE,SEG01,12
51,10.196,0.260,0.366,1,1,2.00,NONE,SEG01,12
52,10.396,0.261,0.409,1,1,2.00,NONE,SEG01,12
53,10.596,0.263,0.521,1,1,2.00,NONE,SEG01,13
54,10.796,0.264,0.634,1,1,2.00,NONE,SEG01,13
55,10.995,0.265,0.747,1,1,2.00,NONE,SEG01,13
56,11.195,0.267,0.816,1,1,2.00,NONE,SEG01,13
57,11.395,0.270,0.830,1,1,2.00,NONE,SEG01,13
58,11.595,0.273,0.927,1,1,2.00,NONE,SEG01,13
59,11.795,0.276,1.023,1,1,2.00,NONE,SEG01,14
60,11.995,0.278,1.119,1,1,2.00,NONE,SEG01,14
61,12.195,0.281,1.201,1,1,2.00,NONE,SEG01,14
62,12.395,0.286,1.200,1,1,2.00,NONE,SEG01,14
63,12.595,0.290,1.193,1,1,2.00,NONE,SEG01,14
64,12.795,0.294,1.186,1,1,2.00,NONE,SEG01,15
65,12.995,0.298,1.179,1,1,2.00,NONE,SEG01,15
66,13.195,0.302,1.173,1,1,2.00,NONE,SEG01,15
67,13.395,0.307,1.144,1,1,2.00,NONE,SEG01,15
68,13.595,0.311,1.062,1,1,2.00,NONE,SEG01,15
69,13.795,0.315,0.980,1,1,2.00,NONE,SEG01,16
70,13.995,0.319,0.898,1,1,2.00,NONE,SEG01,16
71,14.195,0.322,0.845,1,1,2.00,NONE,SEG01,16
72,14.395,0.325,0.850,1,1,2.00,NONE,SEG01,16
73,14.595,0.328,0.855,1,1,2.00,NONE,SEG01,17
74,14.795,0.331,0.860,1,1,2.00,NONE,SEG01,17
75,14.995,0.334,0.865,1,1,2.00,NONE,SEG01,17
76,15.195,0.337,0.847,1,1,2.00,NONE,SEG01,17
77,15.395,0.340,0.788,1,1,2.00,NONE,SEG01,17
78,15.595,0.343,0.729,1,1,2.00,NONE,SEG01,18
79,15.795,0.346,0.671,1,1,2.00,NONE,SEG01,18
80,15.995,0.349,0.631,1,1,2.00,NONE,SEG01,18
81,16.195,0.351,0.529,1,1,2.00,NONE,SEG01,18
82,16.395,0.354,0.401,1,1,2.00,NONE,SEG01,19
83,16.595,0.356,0.273,1,1,2.00,NONE,SEG01,19
84,16.795,0.358,0.145,1,1,2.00,NONE,SEG01,19
85,16.995,0.359,0.119,1,1,2.00,NONE,SEG01,19
