index,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,event,source_segment_id,source_point_index
0,0.000,-0.000,0.000,1,1,2.00,NONE,SEG01,0
1,0.200,-0.000,0.048,1,1,2.00,NONE,SEG01,0
2,0.400,-0.001,0.009,1,1,2.00,NONE,SEG01,1
3,0.600,-0.001,-0.070,1,1,2.00,NONE,SEG01,1
4,0.800,-0.000,-0.178,1,1,2.00,NONE,SEG01,2
5,1.000,0.000,-0.265,1,1,2.00,NONE,SEG01,2
6,1.200,-0.001,-0.279,1,1,2.00,NONE,SEG01,2
7,1.400,-0.002,-0.305,1,1,2.00,NONE,SEG01,2
8,1.600,-0.002,-0.332,1,1,2.00,NONE,SEG01,3
9,1.800,-0.003,-0.358,1,1,2.00,NONE,SEG01,3
10,2.000,-0.005,-0.372,1,1,2.00,NONE,SEG01,3
11,2.200,-0.006,-0.506,1,1,2.00,NONE,SEG01,3
12,2.400,-0.007,-0.678,1,1,2.00,NONE,SEG01,4
13,2.600,-0.008,-0.850,1,1,2.00,NONE,SEG01,4
14,2.800,-0.010,-1.022,1,1,2.00,NONE,SEG01,4
15,3.000,-0.013,-1.071,1,1,2.00,NONE,SEG01,4
16,3.200,-0.017,-1.110,1,1,2.00,NONE,SEG01,4
17,3.400,-0.020,-1.149,1,1,2.00,NONE,SEG01,5
18,3.600,-0.024,-1.188,1,1,2.00,NONE,SEG01,5
19,3.800,-0.028,-1.214,1,1,2.00,NONE,SEG01,5
20,4.000,-0.032,-1.176,1,1,2.00,NONE,SEG01,5
21,4.200,-0.036,-1.137,1,1,2.00,NONE,SEG01,6
22,4.400,-0.041,-1.097,1,1,2.00,NONE,SEG01,6
23,4.600,-0.045,-1.058,1,1,2.00,NONE,SEG01,6
24,4.800,-0.049,-0.949,1,1,2.00,NONE,SEG01,6
25,5.000,-0.052,-0.761,1,1,2.00,NONE,SEG01,6
26,5.200,-0.056,-0.572,1,1,2.00,NONE,SEG01,7
27,5.399,-0.060,-0.384,1,1,2.00,NONE,SEG01,7
28,5.599,-0.062,-0.302,1,1,2.00,NONE,SEG01,7
29,5.799,-0.063,-0.114,1,1,2.00,NONE,SEG01,7
30,5.999,-0.064,0.075,1,1,2.00,NONE,SEG01,8
31,6.199,-0.065,0.263,1,1,2.00,NONE,SEG01,8
32,6.399,-0.066,0.452,1,1,2.00,NONE,SEG01,8
33,6.599,-0.064,0.505,1,1,2.00,NONE,SEG01,8
34,6.799,-0.063,0.621,1,1,2.00,NONE,SEG01,8
35,6.999,-0.061,0.737,1,1,2.00,NONE,SEG01,9
36,7.199,-0.060,0.853,1,1,2.00,NONE,SEG01,9
37,7.399,-0.057,0.918,1,1,2.00,NONE,SEG01,9
38,7.599,-0.054,1.124,1,1,2.00,NONE,SEG01,9
39,7.799,-0.051,1.455,1,1,2.00,NONE,SEG01,10
40,7.999,-0.048,1.787,1,1,2.00,NONE,SEG01,10
41,8.199,-0.045,2.118,1,1,2.00,NONE,SEG01,10
42,8.399,-0.038,2.243,1,1,2.00,NONE,SEG01,10
43,8.599,-0.031,2.286,1,1,2.00,NONE,SEG01,10
44,8.799,-0.023,2.347,1,1,2.00,NONE,SEG01,11
45,8.999,-0.015,2.408,1,1,2.00,NONE,SEG01,11
46,9.199,-0.007,2.468,1,1,2.00,NONE,SEG01,11
47,9.398,0.001,2.487,1,1,2.00,NONE,SEG01,11
48,9.598,0.010,2.366,1,1,2.00,NONE,SEG01,11
49,9.798,0.019,2.160,1,1,2.00,NONE,SEG01,12
50,9.998,0.027,1.953,1,1,2.00,NONE,SEG01,12
51,10.198,0.036,1.747,1,1,2.00,NONE,SEG01,12
52,10.398,0.043,1.660,1,1,2.00,NONE,SEG01,12
53,10.597,0.049,1.657,1,1,2.00,NONE,SEG01,12
54,10.797,0.055,1.649,1,1,2.00,NONE,SEG01,12
55,10.997,0.060,1.641,1,1,2.00,NONE,SEG01,13
56,11.197,0.066,1.633,1,1,2.00,NONE,SEG01,13
57,11.397,0.072,1.628,1,1,2.00,NONE,SEG01,13
58,11.597,0.078,1.633,1,1,2.00,NONE,SEG01,13
59,11.797,0.083,1.666,1,1,2.00,NONE,SEG01,13
60,11.997,0.089,1.699,1,1,2.00,NONE,SEG01,14
61,12.197,0.095,1.731,1,1,2.00,NONE,SEG01,14
62,12.397,0.100,1.760,1,1,2.00,NONE,SEG01,14
63,12.597,0.107,1.759,1,1,2.00,NONE,SEG01,14
64,12.797,0.113,1.723,1,1,2.00,NONE,SEG01,14
65,12.996,0.119,1.688,1,1,2.00,NONE,SEG01,15
66,13.196,0.125,1.653,1,1,2.00,NONE,SEG01,15
67,13.396,0.131,1.618,1,1,2.00,NONE,SEG01,15
68,13.596,0.137,1.618,1,1,2.00,NONE,SEG01,15
69,13.796,0.142,1.553,1,1,2.00,NONE,SEG01,15
70,13.996,0.148,1.471,1,1,2.00,NONE,SEG01,16
71,14.196,0.154,1.389,1,1,2.00,NONE,SEG01,16
72,14.396,0.159,1.307,1,1,2.00,NONE,SEG01,16
73,14.596,0.164,1.290,1,1,2.00,NONE,SEG01,16
74,14.796,0.169,1.345,1,1,2.00,NONE,SEG01,16
75,14.996,0.173,1.420,1,1,2.00,NONE,SEG01,17
76,15.196,0.178,1.494,1,1,2.00,NONE,SEG01,17
77,15.396,0.182,1.569,1,1,2.00,NONE,SEG01,17
78,15.596,0.187,1.588,1,1,2.00,NONE,SEG01,17
