index,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,event,source_segment_id,source_point_index
0,0.000,-0.000,0.000,1,1,2.00,NONE,SEG01,0
1,0.200,-0.000,-0.029,1,1,2.00,NONE,SEG01,1
2,0.400,-0.000,-0.066,1,1,2.00,NONE,SEG01,1
3,0.600,-0.000,-0.139,1,1,2.00,NONE,SEG01,2
4,0.800,0.000,-0.213,1,1,2.00,NONE,SEG01,2
5,1.000,-0.001,-0.255,1,1,2.00,NONE,SEG01,2
6,1.200,-0.001,-0.296,1,1,2.00,NONE,SEG01,3
7,1.400,-0.002,-0.337,1,1,2.00,NONE,SEG01,3
8,1.600,-0.003,-0.352,1,1,2.00,NONE,SEG01,3
9,1.800,-0.004,-0.223,1,1,2.00,NONE,SEG01,3
10,2.000,-0.005,-0.093,1,1,2.00,NONE,SEG01,4
11,2.200,-0.007,0.036,1,1,2.00,NONE,SEG01,4
12,2.400,-0.008,0.157,1,1,2.00,NONE,SEG01,4
13,2.600,-0.007,0.220,1,1,2.00,NONE,SEG01,4
14,2.800,-0.007,0.360,1,1,2.00,NONE,SEG01,4
15,3.000,-0.006,0.499,1,1,2.00,NONE,SEG01,5
16,3.200,-0.006,0.639,1,1,2.00,NONE,SEG01,5
17,3.400,-0.004,0.715,1,1,2.00,NONE,SEG01,5
18,3.600,-0.002,0.758,1,1,2.00,NONE,SEG01,5
19,3.800,0.001,0.814,1,1,2.00,NONE,SEG01,6
20,4.000,0.003,0.871,1,1,2.00,NONE,SEG01,6
21,4.200,0.006,0.928,1,1,2.00,NONE,SEG01,6
22,4.400,0.009,0.942,1,1,2.00,NONE,SEG01,6
23,4.600,0.012,1.349,1,1,2.00,NONE,SEG01,6
24,4.800,0.015,1.759,1,1,2.00,NONE,SEG01,7
25,5.000,0.019,2.169,1,1,2.00,NONE,SEG01,7
26,5.200,0.022,2.579,1,1,2.00,NONE,SEG01,7
27,5.400,0.031,2.578,1,1,2.00,NONE,SEG01,7
28,5.599,0.040,2.558,1,1,2.00,NONE,SEG01,7
29,5.799,0.049,2.538,1,1,2.00,NONE,SEG01,8
30,5.999,0.058,2.519,1,1,2.00,NONE,SEG01,8
31,6.199,0.067,2.503,1,1,2.00,NONE,SEG01,8
32,6.399,0.076,2.590,1,1,2.00,NONE,SEG01,8
33,6.598,0.084,2.833,1,1,2.00,NONE,SEG01,8
34,6.798,0.093,3.076,1,1,2.00,NONE,SEG01,9
35,6.998,0.102,3.318,1,1,2.00,NONE,SEG01,9
36,7.198,0.112,3.474,1,1,2.00,NONE,SEG01,9
37,7.397,0.124,3.481,1,1,2.00,NONE,SEG01,9
38,7.597,0.136,3.497,1,1,2.00,NONE,SEG01,9
39,7.797,0.148,3.513,1,1,2.00,NONE,SEG01,10
40,7.996,0.160,3.529,1,1,2.00,NONE,SEG01,10
41,8.196,0.172,3.538,1,1,2.00,NONE,SEG01,10
