segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node
T_foword,mission_T_forward,0,37.2882561560,127.1069071823,-32.923093,-40.122182,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,1,37.2882545524,127.1069061640,-33.013280,-40.300686,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,2,37.2882529544,127.1069051327,-33.104621,-40.478579,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,3,37.2882513959,127.1069040097,-33.204074,-40.652066,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,4,37.2882498239,127.1069029186,-33.300711,-40.827070,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,5,37.2882482464,127.1069018403,-33.396215,-41.002674,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,6,37.2882466356,127.1069008417,-33.484656,-41.181986,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,7,37.2882450405,127.1068998042,-33.576538,-41.359555,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,8,37.2882434473,127.1068987624,-33.668806,-41.536914,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,9,37.2882418255,127.1068977925,-33.754707,-41.717448,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,10,37.2882401950,127.1068968447,-33.838651,-41.898959,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,11,37.2882385482,127.1068959444,-33.918387,-42.082275,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,12,37.2882368711,127.1068951363,-33.989956,-42.268977,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,13,37.2882351626,127.1068944379,-34.051810,-42.459159,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,14,37.2882334851,127.1068936342,-34.122985,-42.645901,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,15,37.2882318634,127.1068926658,-34.208755,-42.826428,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,16,37.2882302585,127.1068916588,-34.297942,-43.005089,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,17,37.2882286237,127.1068907229,-34.380828,-43.187069,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,18,37.2882269792,127.1068898166,-34.461099,-43.370138,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,19,37.2882252778,127.1068890955,-34.524958,-43.559533,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,20,37.2882235903,127.1068883239,-34.593294,-43.747394,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,21,37.2882219725,127.1068873460,-34.679902,-43.927484,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,22,37.2882203763,127.1068863099,-34.771673,-44.105175,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,23,37.2882187567,127.1068853349,-34.858016,-44.285463,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,24,37.2882171147,127.1068844187,-34.939167,-44.468258,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
