index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2887111329,127.1073346311,0.000,0.000,1,NORMAL,2.00
1,37.2887134331,127.1073295414,-0.451,0.256,1,NORMAL,2.00
2,37.2887158331,127.1073240560,-0.937,0.523,1,NORMAL,2.00
3,37.2887184000,127.1073159000,-1.659,0.809,1,NORMAL,2.00
4,37.2887233342,127.1073046735,-2.653,1.358,1,NORMAL,2.00
5,37.2887275008,127.1072928735,-3.698,1.822,1,NORMAL,2.00
6,37.2887332339,127.1072843411,-4.454,2.460,1,NORMAL,2.00
7,37.2887391997,127.1072743149,-5.342,3.124,1,NORMAL,2.00
8,37.2887506002,127.1072665239,-6.032,4.393,1,NORMAL,2.00
9,37.2887616677,127.1072648388,-6.181,5.626,1,NORMAL,2.00
10,37.2887726016,127.1072701828,-5.708,6.843,1,NORMAL,2.00
11,37.2887827021,127.1072755534,-5.232,7.967,1,NORMAL,2.00
12,37.2887925357,127.1072818297,-4.676,9.062,1,NORMAL,2.00
13,37.2888021690,127.1072873767,-4.185,10.134,1,NORMAL,2.00
14,37.2888124693,127.1072937236,-3.623,11.281,1,NORMAL,2.00
15,37.2888215025,127.1072983589,-3.212,12.286,1,NORMAL,2.00
16,37.2888293023,127.1073051000,-2.615,13.155,1,NORMAL,2.00
17,37.2888343686,127.1073164822,-1.607,13.719,1,NORMAL,2.00
18,37.2888357677,127.1073289291,-0.505,13.874,1,NORMAL,2.00
19,37.2888368342,127.1073402939,0.502,13.993,1,NORMAL,2.00
20,37.2888376681,127.1073530644,1.633,14.086,1,NORMAL,2.00
21,37.2888366353,127.1073656703,2.749,13.971,1,NORMAL,2.00
22,37.2888348690,127.1073797172,3.993,13.774,1,NORMAL,2.00
23,37.2888322686,127.1073919408,5.076,13.485,1,NORMAL,2.00
24,37.2888284346,127.1074051055,6.242,13.058,1,NORMAL,2.00
25,37.2888246009,127.1074191819,7.488,12.631,1,NORMAL,2.00
26,37.2888212007,127.1074297055,8.420,12.253,1,NORMAL,2.00
27,37.2888173337,127.1074433466,9.628,11.822,1,NORMAL,2.00
28,37.2888135002,127.1074551761,10.676,11.395,1,NORMAL,2.00
29,37.2888095002,127.1074678114,11.795,10.950,1,NORMAL,2.00
30,37.2888047002,127.1074812877,12.989,10.416,1,NORMAL,2.00
31,37.2888018674,127.1074942641,14.138,10.101,1,NORMAL,2.00
32,37.2887968339,127.1075082816,15.379,9.540,1,NORMAL,2.00
33,37.2887932674,127.1075207874,16.487,9.143,1,NORMAL,2.00
34,37.2887897339,127.1075327874,17.550,8.750,1,NORMAL,2.00
35,37.2887860670,127.1075435758,18.505,8.342,1,NORMAL,2.00
36,37.2887835335,127.1075534583,19.380,8.060,1,NORMAL,2.00
37,37.2887809333,127.1075629408,20.220,7.770,1,NORMAL,2.00
38,37.2887776330,127.1075754408,21.327,7.403,1,NORMAL,2.00
39,37.2887743662,127.1075863835,22.296,7.039,1,NORMAL,2.00
40,37.2887718665,127.1075952631,23.083,6.761,1,NORMAL,2.00
41,37.2887688335,127.1076048809,23.935,6.423,1,NORMAL,2.00
42,37.2887646003,127.1076172000,25.026,5.952,1,NORMAL,2.00
43,37.2887610338,127.1076276971,25.955,5.555,1,NORMAL,2.00
44,37.2887589341,127.1076332647,26.448,5.321,1,NORMAL,2.00
