index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event
0,37.2889530351,127.1076538906,0.000,0.000,1,NORMAL,2.00,NONE
1,37.2889560023,127.1076430146,-0.963,0.330,1,NORMAL,2.00,NONE
2,37.2889586690,127.1076315236,-1.981,0.627,1,NORMAL,2.00,NONE
3,37.2889615024,127.1076220207,-2.823,0.943,1,NORMAL,2.00,NONE
4,37.2889640356,127.1076122178,-3.691,1.225,1,NORMAL,2.00,NONE
5,37.2889667022,127.1076036589,-4.449,1.521,1,NORMAL,2.00,NONE
6,37.2889697688,127.1075926883,-5.420,1.863,1,NORMAL,2.00,NONE
7,37.2889721353,127.1075841647,-6.175,2.126,1,NORMAL,2.00,NONE
8,37.2889748687,127.1075754058,-6.951,2.431,1,NORMAL,2.00,NONE
9,37.2889772686,127.1075656735,-7.813,2.698,1,NORMAL,2.00,NONE
10,37.2889800020,127.1075548411,-8.772,3.002,1,NORMAL,2.00,NONE
11,37.2889825023,127.1075439087,-9.741,3.280,1,NORMAL,2.00,NONE
12,37.2889853024,127.1075322735,-10.771,3.592,1,NORMAL,2.00,NONE
13,37.2889873355,127.1075220764,-11.674,3.818,1,NORMAL,2.00,NONE
14,37.2889900355,127.1075101676,-12.729,4.119,1,NORMAL,2.00,NONE
15,37.2889936691,127.1074984913,-13.763,4.523,1,NORMAL,2.00,NONE
16,37.2889962025,127.1074875178,-14.735,4.805,1,NORMAL,2.00,NONE
17,37.2889986359,127.1074769443,-15.671,5.076,1,NORMAL,2.00,NONE
18,37.2890010691,127.1074655709,-16.678,5.347,1,NORMAL,2.00,NONE
19,37.2890035357,127.1074557414,-17.549,5.622,1,NORMAL,2.00,NONE
20,37.2890065359,127.1074456414,-18.444,5.956,1,NORMAL,2.00,NONE
21,37.2890084355,127.1074361443,-19.285,6.167,1,NORMAL,2.00,NONE
22,37.2890109020,127.1074256443,-20.215,6.442,1,NORMAL,2.00,NONE
23,37.2890137020,127.1074161120,-21.059,6.753,1,NORMAL,2.00,NONE
24,37.2890158352,127.1074061120,-21.944,6.991,1,NORMAL,2.00,NONE
25,37.2890183352,127.1073965796,-22.789,7.269,1,NORMAL,2.00,NONE
26,37.2890206018,127.1073863385,-23.696,7.521,1,NORMAL,2.00,NONE
27,37.2890234351,127.1073775061,-24.478,7.837,1,NORMAL,2.00,NONE
28,37.2890249674,127.1073720143,-24.964,8.007,1,NORMAL,2.00,NONE
29,37.2890265665,127.1073676000,-25.355,8.185,1,NORMAL,2.00,NONE
30,37.2890277999,127.1073648971,-25.595,8.323,1,SLOPE,2.00,NONE
31,37.2890300335,127.1073576045,-26.240,8.571,1,SLOPE,2.00,NONE
32,37.2890320001,127.1073490854,-26.995,8.790,1,SLOPE,2.00,NONE
33,37.2890338000,127.1073427000,-27.561,8.991,1,SLOPE,2.00,NONE
34,37.2890365000,127.1073339000,-28.340,9.291,1,SLOPE,2.00,NONE
35,37.2890389000,127.1073253000,-29.102,9.558,1,SLOPE,2.00,NONE
36,37.2890413000,127.1073154000,-29.978,9.826,1,SLOPE,2.00,NONE
37,37.2890437000,127.1073067000,-30.749,10.093,1,SLOPE,2.00,NONE
38,37.2890456664,127.1072967618,-31.629,10.312,1,SLOPE,2.00,NONE
39,37.2890482664,127.1072872942,-32.468,10.601,1,SLOPE,2.00,STOP_LINE
40,37.2890500329,127.1072781294,-33.279,10.798,1,SLOPE,2.00,NONE
41,37.2890517993,127.1072689942,-34.088,10.994,1,SLOPE,2.00,NONE
42,37.2890530000,127.1072633000,-34.593,11.128,1,SLOPE,2.00,NONE
43,37.2890538000,127.1072584000,-35.027,11.217,1,D_COURSE,2.00,NONE
44,37.2890560000,127.1072509000,-35.691,11.462,1,D_COURSE,2.00,NONE
45,37.2890585000,127.1072428000,-36.408,11.740,1,D_COURSE,2.00,NONE
46,37.2890609000,127.1072328000,-37.294,12.007,1,D_COURSE,2.00,NONE
47,37.2890633000,127.1072221000,-38.241,12.275,1,D_COURSE,2.00,NONE
48,37.2890660000,127.1072116000,-39.171,12.575,1,D_COURSE,2.00,NONE
49,37.2890688000,127.1072008000,-40.128,12.887,1,D_COURSE,2.00,NONE
50,37.2890719000,127.1071896000,-41.120,13.232,1,D_COURSE,2.00,NONE
51,37.2890750000,127.1071782000,-42.129,13.577,1,D_COURSE,2.00,NONE
52,37.2890780000,127.1071678000,-43.050,13.911,1,D_COURSE,2.00,NONE
53,37.2890809000,127.1071571000,-43.998,14.234,1,D_COURSE,2.00,NONE
