index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2886430327,127.1074294434,0.000,0.000,1,INTERSECTION,2.00
1,37.2886391654,127.1074364227,0.618,-0.431,1,INTERSECTION,2.00
2,37.2886348665,127.1074426864,1.173,-0.909,1,INTERSECTION,2.00
3,37.2886298331,127.1074491233,1.743,-1.469,1,INTERSECTION,2.00
4,37.2886244333,127.1074550308,2.266,-2.070,1,INTERSECTION,2.00
5,37.2886169999,127.1074610660,2.801,-2.898,1,INTERSECTION,2.00
6,37.2886078330,127.1074652880,3.175,-3.918,1,INTERSECTION,2.00
7,37.2885984662,127.1074684806,3.457,-4.961,1,INTERSECTION,2.00
8,37.2885898663,127.1074685262,3.461,-5.918,1,INTERSECTION,2.00
9,37.2885793327,127.1074683939,3.450,-7.091,1,INTERSECTION,2.00
10,37.2885693324,127.1074666777,3.298,-8.204,1,INTERSECTION,2.00
11,37.2885607991,127.1074636586,3.030,-9.154,1,INTERSECTION,2.00
12,37.2885511990,127.1074594204,2.655,-10.223,1,INTERSECTION,2.00
13,37.2885421656,127.1074548499,2.250,-11.228,1,INTERSECTION,2.00
14,37.2885334324,127.1074504469,1.860,-12.201,1,INTERSECTION,2.00
15,37.2885243324,127.1074465822,1.518,-13.214,1,INTERSECTION,2.00
16,37.2885162993,127.1074422822,1.137,-14.108,1,INTERSECTION,2.00
17,37.2885077661,127.1074372117,0.688,-15.058,1,INTERSECTION,2.00
18,37.2884983991,127.1074318411,0.212,-16.101,1,INTERSECTION,2.00
19,37.2884919996,127.1074295880,0.013,-16.813,1,INTERSECTION,2.00
20,37.2884820327,127.1074248204,-0.409,-17.922,1,INTERSECTION,2.00
21,37.2884734660,127.1074214910,-0.704,-18.876,1,INTERSECTION,2.00
22,37.2884665665,127.1074180291,-1.011,-19.644,1,INTERSECTION,2.00
23,37.2884577998,127.1074128939,-1.466,-20.620,1,INTERSECTION,2.00
24,37.2884519006,127.1074088997,-1.819,-21.277,1,INTERSECTION,2.00
