index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event
0,37.2889529017,127.1076548965,0.000,0.000,1,NORMAL,2.00,NONE
1,37.2889541351,127.1076505583,-0.384,0.137,1,NORMAL,2.00,NONE
2,37.2889565351,127.1076432583,-1.031,0.404,1,NORMAL,2.00,NONE
3,37.2889592351,127.1076342583,-1.828,0.705,1,NORMAL,2.00,NONE
4,37.2889620351,127.1076249583,-2.651,1.017,1,NORMAL,2.00,NONE
5,37.2889652351,127.1076150583,-3.528,1.373,1,NORMAL,2.00,NONE
6,37.2889684351,127.1076047583,-4.440,1.729,1,NORMAL,2.00,NONE
7,37.2889713351,127.1075945583,-5.344,2.052,1,NORMAL,2.00,NONE
8,37.2889739351,127.1075844583,-6.238,2.341,1,NORMAL,2.00,NONE
9,37.2889767351,127.1075745583,-7.115,2.653,1,NORMAL,2.00,NONE
10,37.2889789351,127.1075635583,-8.089,2.898,1,NORMAL,2.00,NONE
11,37.2889822355,127.1075531288,-9.013,3.265,1,NORMAL,2.00,NONE
12,37.2889846355,127.1075418288,-10.014,3.533,1,NORMAL,2.00,NONE
13,37.2889873355,127.1075311288,-10.961,3.833,1,NORMAL,2.00,NONE
14,37.2889900355,127.1075207288,-11.883,4.134,1,NORMAL,2.00,NONE
15,37.2889927355,127.1075107288,-12.768,4.434,1,NORMAL,2.00,NONE
16,37.2889951355,127.1075009288,-13.636,4.701,1,NORMAL,2.00,NONE
17,37.2889974355,127.1074915288,-14.469,4.957,1,NORMAL,2.00,NONE
18,37.2890001355,127.1074813288,-15.372,5.258,1,NORMAL,2.00,NONE
19,37.2890032690,127.1074701583,-16.361,5.607,1,NORMAL,2.00,NONE
20,37.2890054689,127.1074610641,-17.167,5.852,1,NORMAL,2.00,NONE
21,37.2890081688,127.1074500583,-18.141,6.152,1,NORMAL,2.00,NONE
22,37.2890107687,127.1074397259,-19.057,6.442,1,NORMAL,2.00,NONE
23,37.2890134353,127.1074286848,-20.034,6.739,1,NORMAL,2.00,NONE
24,37.2890154351,127.1074198583,-20.816,6.961,1,NORMAL,2.00,NONE
25,37.2890179351,127.1074101583,-21.675,7.239,1,NORMAL,2.00,NONE
26,37.2890203351,127.1074012583,-22.463,7.507,1,NORMAL,2.00,NONE
27,37.2890234351,127.1073922583,-23.260,7.852,1,NORMAL,2.00,NONE
28,37.2890259016,127.1073832097,-24.062,8.126,1,NORMAL,2.00,NONE
29,37.2890278349,127.1073745288,-24.831,8.342,1,NORMAL,2.00,NONE
30,37.2890290481,127.1073667423,-25.520,8.477,1,NORMAL,2.00,NONE
31,37.2890304007,127.1073600356,-26.114,8.627,1,SLOPE,2.00,NONE
32,37.2890317674,127.1073523239,-26.797,8.779,1,SLOPE,2.00,NONE
33,37.2890330671,127.1073467385,-27.292,8.924,1,SLOPE,2.00,NONE
34,37.2890352671,127.1073388443,-27.991,9.169,1,SLOPE,2.00,NONE
35,37.2890371669,127.1073315531,-28.637,9.380,1,SLOPE,2.00,NONE
36,37.2890391667,127.1073222825,-29.458,9.603,1,SLOPE,2.00,NONE
37,37.2890413000,127.1073135560,-30.231,9.840,1,SLOPE,2.00,NONE
38,37.2890431665,127.1073036825,-31.105,10.048,1,SLOPE,2.00,NONE
39,37.2890455330,127.1072949178,-31.881,10.312,1,SLOPE,2.00,NONE
40,37.2890477329,127.1072861207,-32.661,10.557,1,SLOPE,2.00,NONE
41,37.2890500329,127.1072757825,-33.576,10.813,1,SLOPE,2.00,STOP_LINE
42,37.2890517993,127.1072669825,-34.355,11.009,1,SLOPE,2.00,NONE
43,37.2890525999,127.1072627971,-34.726,11.098,1,SLOPE,2.00,NONE
44,37.2890538000,127.1072584000,-35.116,11.232,1,D_COURSE,2.00,NONE
45,37.2890560000,127.1072509000,-35.780,11.477,1,D_COURSE,2.00,NONE
46,37.2890585000,127.1072428000,-36.497,11.755,1,D_COURSE,2.00,NONE
47,37.2890609000,127.1072328000,-37.383,12.022,1,D_COURSE,2.00,NONE
48,37.2890633000,127.1072221000,-38.330,12.289,1,D_COURSE,2.00,NONE
49,37.2890660000,127.1072116000,-39.260,12.590,1,D_COURSE,2.00,NONE
50,37.2890688000,127.1072008000,-40.217,12.902,1,D_COURSE,2.00,NONE
51,37.2890719000,127.1071896000,-41.209,13.247,1,D_COURSE,2.00,NONE
52,37.2890750000,127.1071782000,-42.218,13.592,1,D_COURSE,2.00,NONE
53,37.2890780000,127.1071678000,-43.140,13.926,1,D_COURSE,2.00,NONE
54,37.2890809000,127.1071571000,-44.087,14.249,1,D_COURSE,2.00,NONE
55,37.2890834000,127.1071465000,-45.026,14.527,1,D_COURSE,2.00,NONE
56,37.2890868670,127.1071357647,-45.977,14.913,1,D_COURSE,2.00,NONE
57,37.2890905672,127.1071247942,-46.948,15.325,1,D_COURSE,2.00,NONE
58,37.2890949342,127.1071143942,-47.869,15.811,1,D_COURSE,2.00,NONE
59,37.2890995346,127.1071051353,-48.689,16.323,1,D_COURSE,2.00,NONE
60,37.2891023346,127.1070944353,-49.637,16.635,1,D_COURSE,2.00,NONE
61,37.2891050346,127.1070836353,-50.594,16.935,1,D_COURSE,2.00,NONE
62,37.2891081346,127.1070727353,-51.559,17.280,1,D_COURSE,2.00,NONE
63,37.2891113346,127.1070616353,-52.542,17.637,1,D_COURSE,2.00,NONE
64,37.2891148346,127.1070500353,-53.569,18.026,1,D_COURSE,2.00,NONE
65,37.2891180346,127.1070385353,-54.588,18.383,1,D_COURSE,2.00,NONE
66,37.2891214349,127.1070269353,-55.615,18.761,1,D_COURSE,2.00,NONE
67,37.2891237353,127.1070134971,-56.805,19.017,1,D_COURSE,2.00,NONE
68,37.2891238020,127.1070009647,-57.915,19.025,1,D_COURSE,2.00,NONE
69,37.2891211350,127.1069890324,-58.972,18.728,1,D_COURSE,2.00,NONE
70,37.2891183349,127.1069773647,-60.005,18.416,1,D_COURSE,2.00,NONE
71,37.2891129346,127.1069669353,-60.929,17.815,1,D_COURSE,2.00,NONE
72,37.2891045672,127.1069561324,-61.886,16.883,1,D_COURSE,2.00,NONE
73,37.2890981004,127.1069464295,-62.745,16.163,1,D_COURSE,2.00,NONE
74,37.2890914673,127.1069375265,-63.534,15.425,1,D_COURSE,2.00,NONE
75,37.2890834006,127.1069298265,-64.216,14.527,1,D_COURSE,2.00,NONE
76,37.2890741669,127.1069224883,-64.866,13.499,1,D_COURSE,2.00,NONE
77,37.2890663003,127.1069155178,-65.483,12.623,1,D_COURSE,2.00,NONE
78,37.2890569001,127.1069100531,-65.967,11.577,1,D_COURSE,2.00,NONE
79,37.2890487002,127.1069047178,-66.439,10.664,1,D_COURSE,2.00,NONE
80,37.2890396002,127.1069003178,-66.829,9.651,1,D_COURSE,2.00,NONE
81,37.2890303002,127.1068964207,-67.174,8.616,1,D_COURSE,2.00,NONE
82,37.2890200333,127.1068921531,-67.552,7.473,1,D_COURSE,2.00,NONE
83,37.2890112000,127.1068890236,-67.829,6.490,1,D_COURSE,2.00,NONE
84,37.2890017333,127.1068861942,-68.080,5.436,1,D_COURSE,2.00,NONE
85,37.2889925000,127.1068846000,-68.221,4.408,1,D_COURSE,2.00,NONE
86,37.2889826000,127.1068840000,-68.274,3.306,1,D_COURSE,2.00,NONE
87,37.2889728000,127.1068854000,-68.150,2.215,1,D_COURSE,2.00,NONE
88,37.2889633000,127.1068885000,-67.876,1.158,1,D_COURSE,2.00,NONE
89,37.2889540000,127.1068929000,-67.486,0.122,1,D_COURSE,2.00,NONE
90,37.2889454000,127.1068986000,-66.981,-0.835,1,D_COURSE,2.00,NONE
91,37.2889375000,127.1069051000,-66.406,-1.715,1,D_COURSE,2.00,NONE
92,37.2889306000,127.1069131000,-65.697,-2.483,1,D_COURSE,2.00,NONE
93,37.2889243000,127.1069219000,-64.918,-3.184,1,D_COURSE,2.00,NONE
94,37.2889190000,127.1069312000,-64.094,-3.774,1,D_COURSE,2.00,NONE
95,37.2889137000,127.1069407000,-63.253,-4.364,1,D_COURSE,2.00,NONE
96,37.2889090000,127.1069504000,-62.394,-4.887,1,D_COURSE,2.00,NONE
97,37.2889049000,127.1069606000,-61.490,-5.344,1,D_COURSE,2.00,NONE
98,37.2889016000,127.1069713000,-60.543,-5.711,1,D_COURSE,2.00,NONE
99,37.2888989000,127.1069818000,-59.613,-6.011,1,D_COURSE,2.00,NONE
100,37.2888962000,127.1069929000,-58.630,-6.312,1,D_COURSE,2.00,NONE
101,37.2888938998,127.1070045353,-57.599,-6.568,1,D_COURSE,2.00,NONE
102,37.2888933661,127.1070166411,-56.527,-6.627,1,D_COURSE,2.00,NONE
103,37.2888947656,127.1070299528,-55.348,-6.472,1,D_COURSE,2.00,NONE
104,37.2889005323,127.1070404939,-54.414,-5.830,1,D_COURSE,2.00,NONE
105,37.2889086993,127.1070480586,-53.744,-4.921,1,D_COURSE,2.00,NONE
106,37.2889163993,127.1070543233,-53.190,-4.063,1,D_COURSE,2.00,NONE
107,37.2889241993,127.1070595528,-52.726,-3.195,1,D_COURSE,2.00,NONE
108,37.2889327327,127.1070659262,-52.162,-2.245,1,D_COURSE,2.00,NONE
109,37.2889405326,127.1070703586,-51.769,-1.377,1,D_COURSE,2.00,NONE
110,37.2889486993,127.1070756939,-51.297,-0.468,1,D_COURSE,2.00,NONE
111,37.2889574996,127.1070808233,-50.843,0.512,1,D_COURSE,2.00,NONE
112,37.2889661664,127.1070857204,-50.409,1.477,1,D_COURSE,2.00,NONE
113,37.2889745998,127.1070909851,-49.943,2.415,1,D_COURSE,2.00,NONE
114,37.2889828666,127.1070963440,-49.468,3.336,1,D_COURSE,2.00,NONE
115,37.2889899003,127.1071040087,-48.789,4.119,1,D_COURSE,2.00,NONE
116,37.2889946672,127.1071121705,-48.066,4.649,1,D_COURSE,2.00,NONE
