index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2885595000,127.1075106026,0.000,0.000,1,PARALLEL_PARK,2.00
1,37.2885646675,127.1075135845,0.264,0.575,1,PARALLEL_PARK,2.00
2,37.2885701352,127.1075166410,0.535,1.184,1,PARALLEL_PARK,2.00
3,37.2885766701,127.1075197137,0.807,1.911,1,PARALLEL_PARK,2.00
4,37.2885820038,127.1075225136,1.055,2.505,1,PARALLEL_PARK,2.00
5,37.2885869701,127.1075258497,1.350,3.058,1,PARALLEL_PARK,2.00
6,37.2885942035,127.1075287344,1.606,3.863,1,PARALLEL_PARK,2.00
7,37.2886018367,127.1075325049,1.940,4.713,1,PARALLEL_PARK,2.00
8,37.2886097032,127.1075356049,2.214,5.589,1,PARALLEL_PARK,2.00
9,37.2886184700,127.1075388049,2.498,6.565,1,PARALLEL_PARK,2.00
10,37.2886277035,127.1075392227,2.535,7.592,1,PARALLEL_PARK,2.00
11,37.2886348695,127.1075371994,2.356,8.390,1,PARALLEL_PARK,2.00
12,37.2886419356,127.1075326761,1.955,9.177,1,PARALLEL_PARK,2.00
13,37.2886499353,127.1075260175,1.365,10.067,1,PARALLEL_PARK,2.00
14,37.2886551344,127.1075219822,1.008,10.646,1,PARALLEL_PARK,2.00
15,37.2886617341,127.1075152411,0.411,11.381,1,PARALLEL_PARK,2.00
16,37.2886680337,127.1075082382,-0.209,12.082,1,PARALLEL_PARK,2.00
17,37.2886739000,127.1075003000,-0.912,12.735,1,PARALLEL_PARK,2.00
18,37.2886808000,127.1074930000,-1.559,13.503,1,PARALLEL_PARK,2.00
19,37.2886883000,127.1074859000,-2.188,14.338,1,PARALLEL_PARK,2.00
20,37.2886960000,127.1074799000,-2.719,15.195,1,PARALLEL_PARK,2.00
21,37.2887031000,127.1074763000,-3.038,15.985,1,PARALLEL_PARK,2.00
22,37.2887110000,127.1074739000,-3.251,16.865,1,PARALLEL_PARK,2.00
23,37.2887180000,127.1074719000,-3.428,17.644,1,PARALLEL_PARK,2.00
24,37.2887203000,127.1074685000,-3.729,17.900,1,PARALLEL_PARK,2.00
25,37.2887212672,127.1074654000,-4.003,18.008,1,PARALLEL_PARK,2.00
26,37.2887230669,127.1074612353,-4.372,18.208,1,PARALLEL_PARK,2.00
27,37.2887250000,127.1074553000,-4.898,18.423,1,PARALLEL_PARK,2.00
28,37.2887259000,127.1074499000,-5.376,18.524,1,PARALLEL_PARK,2.00
29,37.2887234000,127.1074447000,-5.837,18.245,1,PARALLEL_PARK,2.00
30,37.2887195000,127.1074408000,-6.182,17.811,1,PARALLEL_PARK,2.00
31,37.2887149000,127.1074365000,-6.563,17.299,1,PARALLEL_PARK,2.00
32,37.2887101000,127.1074304000,-7.103,16.765,1,PARALLEL_PARK,2.00
33,37.2887058000,127.1074225000,-7.803,16.286,1,PARALLEL_PARK,2.00
34,37.2887024000,127.1074127000,-8.671,15.908,1,PARALLEL_PARK,2.00
35,37.2886998000,127.1074021000,-9.610,15.618,1,PARALLEL_PARK,2.00
36,37.2886997335,127.1073909838,-10.594,15.611,1,PARALLEL_PARK,2.00
37,37.2887020340,127.1073821146,-11.380,15.867,1,PARALLEL_PARK,2.00
38,37.2887052677,127.1073726424,-12.218,16.227,1,PARALLEL_PARK,2.00
39,37.2887092348,127.1073617101,-13.187,16.668,1,PARALLEL_PARK,2.00
40,37.2887120016,127.1073542570,-13.847,16.976,1,PARALLEL_PARK,2.00
41,37.2887141015,127.1073466246,-14.523,17.210,1,PARALLEL_PARK,2.00
42,37.2887168679,127.1073368942,-15.385,17.518,1,PARALLEL_PARK,2.00
