index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event
0,37.2889527683,127.1076587522,0.000,0.000,1,NORMAL,2.00,NONE
1,37.2889538683,127.1076552521,-0.310,0.122,1,NORMAL,2.00,NONE
2,37.2889562683,127.1076479522,-0.956,0.390,1,NORMAL,2.00,NONE
3,37.2889589683,127.1076389521,-1.754,0.690,1,NORMAL,2.00,NONE
4,37.2889617683,127.1076296521,-2.577,1.002,1,NORMAL,2.00,NONE
5,37.2889649683,127.1076197522,-3.454,1.358,1,NORMAL,2.00,NONE
6,37.2889681683,127.1076094522,-4.366,1.714,1,NORMAL,2.00,NONE
7,37.2889710683,127.1075992521,-5.270,2.037,1,NORMAL,2.00,NONE
8,37.2889736683,127.1075891521,-6.164,2.327,1,NORMAL,2.00,NONE
9,37.2889766017,127.1075785816,-7.100,2.653,1,NORMAL,2.00,NONE
10,37.2889789351,127.1075687551,-7.971,2.913,1,NORMAL,2.00,NONE
11,37.2889818354,127.1075573198,-8.983,3.236,1,NORMAL,2.00,NONE
12,37.2889851690,127.1075451816,-10.058,3.607,1,NORMAL,2.00,NONE
13,37.2889877356,127.1075356551,-10.902,3.893,1,NORMAL,2.00,NONE
14,37.2889905690,127.1075249198,-11.853,4.208,1,NORMAL,2.00,NONE
15,37.2889930023,127.1075144169,-12.783,4.479,1,NORMAL,2.00,NONE
16,37.2889958024,127.1075039463,-13.710,4.791,1,NORMAL,2.00,NONE
17,37.2889979690,127.1074953845,-14.469,5.032,1,NORMAL,2.00,NONE
18,37.2889998688,127.1074860227,-15.298,5.243,1,NORMAL,2.00,NONE
19,37.2890023354,127.1074765285,-16.139,5.518,1,NORMAL,2.00,NONE
20,37.2890053355,127.1074652551,-17.137,5.852,1,NORMAL,2.00,NONE
21,37.2890084355,127.1074552551,-18.023,6.197,1,NORMAL,2.00,NONE
22,37.2890114355,127.1074447551,-18.953,6.531,1,NORMAL,2.00,NONE
23,37.2890142355,127.1074350551,-19.812,6.842,1,NORMAL,2.00,NONE
24,37.2890170355,127.1074250551,-20.697,7.154,1,NORMAL,2.00,NONE
25,37.2890195355,127.1074153551,-21.556,7.432,1,NORMAL,2.00,NONE
26,37.2890219355,127.1074064551,-22.345,7.700,1,NORMAL,2.00,NONE
27,37.2890242353,127.1073977903,-23.112,7.956,1,NORMAL,2.00,NONE
28,37.2890267018,127.1073866463,-24.099,8.230,1,NORMAL,2.00,NONE
29,37.2890281683,127.1073777140,-24.890,8.393,1,NORMAL,2.00,NONE
30,37.2890297338,127.1073670764,-25.832,8.568,1,SLOPE,2.00,NONE
31,37.2890311672,127.1073593647,-26.515,8.727,1,SLOPE,2.00,NONE
32,37.2890328003,127.1073509295,-27.262,8.909,1,SLOPE,2.00,NONE
33,37.2890338000,127.1073447117,-27.813,9.020,1,SLOPE,2.00,NONE
34,37.2890367667,127.1073333971,-28.815,9.351,1,SLOPE,2.00,NONE
35,37.2890389000,127.1073261382,-29.458,9.588,1,SLOPE,2.00,NONE
36,37.2890413000,127.1073162382,-30.335,9.855,1,SLOPE,2.00,NONE
37,37.2890437000,127.1073067000,-31.179,10.122,1,SLOPE,2.00,NONE
38,37.2890457998,127.1072955883,-32.164,10.356,1,SLOPE,2.00,NONE
39,37.2890475996,127.1072877971,-32.854,10.557,1,SLOPE,2.00,NONE
40,37.2890496328,127.1072784647,-33.680,10.783,1,SLOPE,2.00,STOP_LINE
41,37.2890509991,127.1072720117,-34.252,10.935,1,SLOPE,2.00,NONE
42,37.2890524665,127.1072639705,-34.964,11.098,1,SLOPE,2.00,NONE
43,37.2890538000,127.1072584000,-35.457,11.247,1,D_COURSE,2.00,NONE
44,37.2890560000,127.1072509000,-36.121,11.492,1,D_COURSE,2.00,NONE
45,37.2890576998,127.1072426324,-36.854,11.681,1,D_COURSE,2.00,NONE
46,37.2890609000,127.1072328000,-37.724,12.037,1,D_COURSE,2.00,NONE
47,37.2890633000,127.1072221000,-38.672,12.304,1,D_COURSE,2.00,NONE
48,37.2890660000,127.1072116000,-39.602,12.605,1,D_COURSE,2.00,NONE
49,37.2890688000,127.1072008000,-40.558,12.917,1,D_COURSE,2.00,NONE
50,37.2890719000,127.1071896000,-41.550,13.262,1,D_COURSE,2.00,NONE
51,37.2890750000,127.1071782000,-42.560,13.607,1,D_COURSE,2.00,NONE
52,37.2890780000,127.1071678000,-43.481,13.941,1,D_COURSE,2.00,NONE
53,37.2890817002,127.1071564295,-44.488,14.353,1,D_COURSE,2.00,NONE
54,37.2890854006,127.1071458295,-45.427,14.765,1,D_COURSE,2.00,NONE
55,37.2890883340,127.1071362676,-46.274,15.091,1,D_COURSE,2.00,NONE
56,37.2890911007,127.1071261353,-47.171,15.399,1,D_COURSE,2.00,NONE
57,37.2890949342,127.1071147295,-48.181,15.826,1,D_COURSE,2.00,NONE
58,37.2890986010,127.1071044647,-49.090,16.234,1,D_COURSE,2.00,NONE
59,37.2891014010,127.1070944353,-49.979,16.546,1,D_COURSE,2.00,NONE
60,37.2891043678,127.1070851440,-50.801,16.876,1,D_COURSE,2.00,NONE
61,37.2891081346,127.1070735735,-51.826,17.295,1,D_COURSE,2.00,NONE
62,37.2891116014,127.1070643175,-52.646,17.681,1,D_COURSE,2.00,NONE
63,37.2891159016,127.1070502029,-53.896,18.160,1,D_COURSE,2.00,NONE
64,37.2891188348,127.1070378647,-54.989,18.486,1,D_COURSE,2.00,NONE
65,37.2891215683,127.1070262647,-56.016,18.791,1,D_COURSE,2.00,NONE
66,37.2891230684,127.1070138324,-57.117,18.958,1,D_COURSE,2.00,NONE
67,37.2891235353,127.1070021382,-58.153,19.010,1,D_COURSE,2.00,NONE
68,37.2891223353,127.1069888647,-59.328,18.876,1,D_COURSE,2.00,NONE
69,37.2891191352,127.1069764427,-60.429,18.520,1,D_COURSE,2.00,NONE
70,37.2891129346,127.1069644207,-61.493,17.830,1,D_COURSE,2.00,NONE
71,37.2891051007,127.1069542883,-62.391,16.958,1,D_COURSE,2.00,NONE
72,37.2890978337,127.1069454236,-63.176,16.149,1,D_COURSE,2.00,NONE
73,37.2890908004,127.1069383647,-63.801,15.366,1,D_COURSE,2.00,NONE
74,37.2890818001,127.1069299942,-64.542,14.364,1,D_COURSE,2.00,NONE
75,37.2890740335,127.1069236618,-65.103,13.499,1,D_COURSE,2.00,NONE
