index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2887138003,127.1073384029,0.000,0.000,1,NORMAL,2.00
1,37.2887155670,127.1073338162,-0.406,0.197,1,NORMAL,2.00
2,37.2887178337,127.1073261515,-1.085,0.449,1,NORMAL,2.00
3,37.2887206006,127.1073159000,-1.993,0.757,1,NORMAL,2.00
4,37.2887240010,127.1073046735,-2.987,1.136,1,NORMAL,2.00
5,37.2887275008,127.1072922029,-4.092,1.525,1,NORMAL,2.00
6,37.2887328338,127.1072826647,-4.936,2.119,1,NORMAL,2.00
7,37.2887401333,127.1072756560,-5.557,2.931,1,NORMAL,2.00
8,37.2887492665,127.1072710502,-5.965,3.948,1,NORMAL,2.00
9,37.2887588669,127.1072708738,-5.981,5.017,1,NORMAL,2.00
10,37.2887683337,127.1072733679,-5.760,6.071,1,NORMAL,2.00
11,37.2887780341,127.1072765592,-5.477,7.150,1,NORMAL,2.00
12,37.2887878677,127.1072808239,-5.099,8.245,1,NORMAL,2.00
13,37.2887979011,127.1072848621,-4.742,9.362,1,NORMAL,2.00
14,37.2888079346,127.1072897003,-4.313,10.479,1,NORMAL,2.00
15,37.2888176348,127.1072965149,-3.710,11.559,1,NORMAL,2.00
16,37.2888251678,127.1073037589,-3.068,12.397,1,NORMAL,2.00
17,37.2888309009,127.1073129618,-2.253,13.036,1,NORMAL,2.00
18,37.2888352342,127.1073242353,-1.255,13.518,1,NORMAL,2.00
19,37.2888379011,127.1073362705,-0.189,13.815,1,NORMAL,2.00
20,37.2888383350,127.1073492087,0.957,13.863,1,NORMAL,2.00
21,37.2888369021,127.1073631557,2.192,13.704,1,NORMAL,2.00
22,37.2888347356,127.1073741851,3.169,13.462,1,NORMAL,2.00
23,37.2888311349,127.1073880851,4.400,13.062,1,NORMAL,2.00
24,37.2888273677,127.1074005793,5.507,12.642,1,NORMAL,2.00
25,37.2888239341,127.1074118058,6.501,12.260,1,NORMAL,2.00
26,37.2888203338,127.1074236706,7.552,11.859,1,NORMAL,2.00
27,37.2888169336,127.1074355515,8.604,11.481,1,NORMAL,2.00
28,37.2888133669,127.1074478000,9.689,11.084,1,NORMAL,2.00
29,37.2888096336,127.1074606029,10.823,10.668,1,NORMAL,2.00
30,37.2888059006,127.1074739117,12.001,10.253,1,NORMAL,2.00
31,37.2888030678,127.1074860498,13.076,9.937,1,NORMAL,2.00
32,37.2888001682,127.1074978880,14.125,9.614,1,NORMAL,2.00
33,37.2887970018,127.1075088851,15.099,9.262,1,NORMAL,2.00
34,37.2887932016,127.1075218909,16.251,8.839,1,NORMAL,2.00
35,37.2887900681,127.1075348586,17.399,8.490,1,NORMAL,2.00
36,37.2887867344,127.1075485968,18.616,8.119,1,NORMAL,2.00
37,37.2887834673,127.1075604262,19.663,7.755,1,NORMAL,2.00
38,37.2887811007,127.1075707469,20.578,7.492,1,NORMAL,2.00
39,37.2887780339,127.1075839528,21.747,7.150,1,NORMAL,2.00
40,37.2887746006,127.1075973586,22.934,6.768,1,NORMAL,2.00
41,37.2887712342,127.1076093233,23.994,6.394,1,NORMAL,2.00
42,37.2887676011,127.1076205528,24.989,5.989,1,NORMAL,2.00
43,37.2887653017,127.1076300440,25.829,5.733,1,NORMAL,2.00
44,37.2887632019,127.1076356117,26.322,5.499,1,NORMAL,2.00
