index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5448943333,129.2552353333,0.000,0.000,1,INTERSECTION,2.00
1,35.5448923326,129.2552358333,0.045,-0.223,1,INTERSECTION,2.00
2,35.5448907750,129.2552360394,0.064,-0.396,1,INTERSECTION,2.00
3,35.5448896728,129.2552361867,0.077,-0.519,1,INTERSECTION,2.00
4,35.5448881392,129.2552365106,0.107,-0.690,1,INTERSECTION,2.00
5,35.5448864139,129.2552370113,0.152,-0.882,1,INTERSECTION,2.00
6,35.5448856231,129.2552374530,0.192,-0.970,1,INTERSECTION,2.00
7,35.5448840416,129.2552385427,0.291,-1.146,1,INTERSECTION,2.00
8,35.5448816667,129.2552418333,0.589,-1.410,1,INTERSECTION,2.00
9,35.5448798333,129.2552426667,0.664,-1.614,1,INTERSECTION,2.00
10,35.5448780000,129.2552436667,0.755,-1.818,1,INTERSECTION,2.00
11,35.5448763333,129.2552446667,0.845,-2.004,1,INTERSECTION,2.00
12,35.5448745000,129.2552453333,0.906,-2.208,1,INTERSECTION,2.00
13,35.5448731667,129.2552458333,0.951,-2.356,1,INTERSECTION,2.00
14,35.5448715000,129.2552466667,1.027,-2.542,1,INTERSECTION,2.00
15,35.5448700000,129.2552476667,1.117,-2.709,1,INTERSECTION,2.00
16,35.5448686667,129.2552481667,1.162,-2.857,1,INTERSECTION,2.00
17,35.5448673333,129.2552488333,1.223,-3.006,1,INTERSECTION,2.00
18,35.5448658333,129.2552493333,1.268,-3.173,1,INTERSECTION,2.00
19,35.5448645000,129.2552498333,1.313,-3.321,1,INTERSECTION,2.00
20,35.5448626667,129.2552510000,1.419,-3.525,1,INTERSECTION,2.00
21,35.5448613333,129.2552516667,1.479,-3.674,1,INTERSECTION,2.00
22,35.5448600000,129.2552521667,1.525,-3.822,1,INTERSECTION,2.00
23,35.5448585000,129.2552526667,1.570,-3.989,1,INTERSECTION,2.00
24,35.5448571667,129.2552531667,1.615,-4.137,1,INTERSECTION,2.00
25,35.5448551667,129.2552540000,1.691,-4.360,1,INTERSECTION,2.00
26,35.5448538333,129.2552546667,1.751,-4.508,1,INTERSECTION,2.00
27,35.5448525000,129.2552553333,1.812,-4.657,1,INTERSECTION,2.00
28,35.5448511667,129.2552558333,1.857,-4.805,1,INTERSECTION,2.00
29,35.5448496667,129.2552565000,1.917,-4.972,1,INTERSECTION,2.00
30,35.5448483333,129.2552568333,1.947,-5.121,1,INTERSECTION,2.00
31,35.5448470000,129.2552576667,2.023,-5.269,1,INTERSECTION,2.00
32,35.5448456667,129.2552585000,2.098,-5.418,1,INTERSECTION,2.00
33,35.5448438333,129.2552595000,2.189,-5.622,1,INTERSECTION,2.00
34,35.5448425000,129.2552601667,2.249,-5.770,1,INTERSECTION,2.00
35,35.5448411667,129.2552605000,2.280,-5.919,1,INTERSECTION,2.00
36,35.5448391667,129.2552613333,2.355,-6.141,1,INTERSECTION,2.00
37,35.5448376928,129.2552621805,2.432,-6.305,1,INTERSECTION,2.00
38,35.5448366667,129.2552628333,2.491,-6.419,1,INTERSECTION,2.00
39,35.5448348333,129.2552638333,2.581,-6.624,1,INTERSECTION,2.00
40,35.5448330000,129.2552645000,2.642,-6.828,1,INTERSECTION,2.00
41,35.5448316667,129.2552651667,2.702,-6.976,1,INTERSECTION,2.00
42,35.5448303333,129.2552660000,2.778,-7.124,1,INTERSECTION,2.00
43,35.5448285000,129.2552670000,2.868,-7.329,1,INTERSECTION,2.00
44,35.5448271667,129.2552676667,2.929,-7.477,1,INTERSECTION,2.00
45,35.5448258333,129.2552683333,2.989,-7.625,1,INTERSECTION,2.00
46,35.5448243333,129.2552690000,3.049,-7.792,1,INTERSECTION,2.00
47,35.5448231667,129.2552698333,3.125,-7.922,1,INTERSECTION,2.00
48,35.5448220000,129.2552708333,3.215,-8.052,1,INTERSECTION,2.00
49,35.5448200000,129.2552716667,3.291,-8.275,1,INTERSECTION,2.00
