index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5448871667,129.2552301667,0.000,0.000,1,INTERSECTION,2.00
1,35.5448854865,129.2552314898,0.120,-0.187,1,INTERSECTION,2.00
2,35.5448836000,129.2552327484,0.234,-0.397,1,INTERSECTION,2.00
3,35.5448826658,129.2552335212,0.304,-0.501,1,INTERSECTION,2.00
4,35.5448815159,129.2552343824,0.382,-0.629,1,INTERSECTION,2.00
5,35.5448799888,129.2552360605,0.534,-0.799,1,INTERSECTION,2.00
6,35.5448792522,129.2552368775,0.608,-0.881,1,INTERSECTION,2.00
7,35.5448786054,129.2552376282,0.676,-0.953,1,INTERSECTION,2.00
8,35.5448779047,129.2552386660,0.770,-1.031,1,INTERSECTION,2.00
9,35.5448767908,129.2552399246,0.884,-1.155,1,INTERSECTION,2.00
10,35.5448760362,129.2552411170,0.992,-1.239,1,INTERSECTION,2.00
11,35.5448751918,129.2552427510,1.140,-1.333,1,INTERSECTION,2.00
12,35.5448739701,129.2552443629,1.286,-1.469,1,INTERSECTION,2.00
13,35.5448726667,129.2552460000,1.434,-1.614,1,INTERSECTION,2.00
14,35.5448710000,129.2552471667,1.540,-1.800,1,INTERSECTION,2.00
15,35.5448698333,129.2552480000,1.615,-1.930,1,INTERSECTION,2.00
16,35.5448681667,129.2552490000,1.706,-2.115,1,INTERSECTION,2.00
17,35.5448666667,129.2552495000,1.751,-2.282,1,INTERSECTION,2.00
18,35.5448650000,129.2552503333,1.827,-2.468,1,INTERSECTION,2.00
19,35.5448631667,129.2552515000,1.932,-2.672,1,INTERSECTION,2.00
20,35.5448620000,129.2552523333,2.008,-2.802,1,INTERSECTION,2.00
21,35.5448603333,129.2552531667,2.083,-2.987,1,INTERSECTION,2.00
22,35.5448590000,129.2552538333,2.144,-3.136,1,INTERSECTION,2.00
23,35.5448571667,129.2552543333,2.189,-3.340,1,INTERSECTION,2.00
24,35.5448558333,129.2552550000,2.249,-3.488,1,INTERSECTION,2.00
25,35.5448540000,129.2552558333,2.325,-3.692,1,INTERSECTION,2.00
26,35.5448526667,129.2552565000,2.385,-3.841,1,INTERSECTION,2.00
27,35.5448513333,129.2552570000,2.430,-3.989,1,INTERSECTION,2.00
28,35.5448495000,129.2552576667,2.491,-4.193,1,INTERSECTION,2.00
29,35.5448481667,129.2552583333,2.551,-4.341,1,INTERSECTION,2.00
30,35.5448468333,129.2552590000,2.612,-4.490,1,INTERSECTION,2.00
31,35.5448456667,129.2552598333,2.687,-4.620,1,INTERSECTION,2.00
32,35.5448441667,129.2552603333,2.732,-4.787,1,INTERSECTION,2.00
33,35.5448428333,129.2552606667,2.763,-4.935,1,INTERSECTION,2.00
34,35.5448411667,129.2552613333,2.823,-5.121,1,INTERSECTION,2.00
35,35.5448400000,129.2552621667,2.898,-5.251,1,INTERSECTION,2.00
36,35.5448386667,129.2552630000,2.974,-5.399,1,INTERSECTION,2.00
37,35.5448368333,129.2552641667,3.080,-5.603,1,INTERSECTION,2.00
38,35.5448348333,129.2552646667,3.125,-5.826,1,INTERSECTION,2.00
39,35.5448330000,129.2552653333,3.185,-6.030,1,INTERSECTION,2.00
40,35.5448316667,129.2552661667,3.261,-6.178,1,INTERSECTION,2.00
41,35.5448303333,129.2552668333,3.321,-6.327,1,INTERSECTION,2.00
42,35.5448285000,129.2552673333,3.366,-6.531,1,INTERSECTION,2.00
43,35.5448270000,129.2552678333,3.412,-6.698,1,INTERSECTION,2.00
44,35.5448256667,129.2552681667,3.442,-6.846,1,INTERSECTION,2.00
45,35.5448240000,129.2552690000,3.517,-7.032,1,INTERSECTION,2.00
46,35.5448221667,129.2552693333,3.548,-7.236,1,INTERSECTION,2.00
47,35.5448208333,129.2552696667,3.578,-7.384,1,INTERSECTION,2.00
48,35.5448191667,129.2552698333,3.593,-7.570,1,INTERSECTION,2.00
