index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5445795000,129.2557483333,0.000,0.000,1,INTERSECTION,2.00
1,35.5445795000,129.2557501667,0.166,0.000,1,INTERSECTION,2.00
2,35.5445801667,129.2557520000,0.332,0.074,1,INTERSECTION,2.00
3,35.5445806667,129.2557538333,0.498,0.130,1,INTERSECTION,2.00
4,35.5445810000,129.2557556667,0.664,0.167,1,INTERSECTION,2.00
5,35.5445815000,129.2557575000,0.830,0.223,1,INTERSECTION,2.00
6,35.5445818333,129.2557591667,0.981,0.260,1,INTERSECTION,2.00
7,35.5445823333,129.2557611667,1.162,0.315,1,INTERSECTION,2.00
8,35.5445828333,129.2557628333,1.313,0.371,1,INTERSECTION,2.00
9,35.5445835000,129.2557646667,1.479,0.445,1,INTERSECTION,2.00
10,35.5445841667,129.2557663333,1.630,0.519,1,INTERSECTION,2.00
11,35.5445846667,129.2557680000,1.781,0.575,1,INTERSECTION,2.00
12,35.5445851667,129.2557696667,1.932,0.631,1,INTERSECTION,2.00
13,35.5445858333,129.2557716667,2.113,0.705,1,INTERSECTION,2.00
14,35.5445863333,129.2557733333,2.264,0.761,1,INTERSECTION,2.00
15,35.5445868333,129.2557753333,2.446,0.816,1,INTERSECTION,2.00
16,35.5445875000,129.2557768333,2.581,0.891,1,INTERSECTION,2.00
17,35.5445878333,129.2557785000,2.732,0.928,1,INTERSECTION,2.00
18,35.5445890000,129.2557800000,2.868,1.058,1,INTERSECTION,2.00
19,35.5445901667,129.2557811667,2.974,1.187,1,INTERSECTION,2.00
20,35.5445910000,129.2557830000,3.140,1.280,1,INTERSECTION,2.00
21,35.5445915000,129.2557848333,3.306,1.336,1,INTERSECTION,2.00
22,35.5445918333,129.2557866667,3.472,1.373,1,INTERSECTION,2.00
23,35.5445923333,129.2557886667,3.653,1.429,1,INTERSECTION,2.00
24,35.5445931667,129.2557906667,3.834,1.521,1,INTERSECTION,2.00
25,35.5445936667,129.2557925000,4.000,1.577,1,INTERSECTION,2.00
26,35.5445941667,129.2557941667,4.151,1.633,1,INTERSECTION,2.00
27,35.5445948333,129.2557958333,4.302,1.707,1,INTERSECTION,2.00
28,35.5445955000,129.2557978333,4.484,1.781,1,INTERSECTION,2.00
29,35.5445961667,129.2557996667,4.650,1.855,1,INTERSECTION,2.00
30,35.5445968333,129.2558015000,4.816,1.930,1,INTERSECTION,2.00
31,35.5445973333,129.2558031667,4.967,1.985,1,INTERSECTION,2.00
32,35.5445975000,129.2558048333,5.118,2.004,1,INTERSECTION,2.00
33,35.5445981667,129.2558068333,5.299,2.078,1,INTERSECTION,2.00
34,35.5445988333,129.2558085000,5.450,2.152,1,INTERSECTION,2.00
35,35.5445993333,129.2558103333,5.616,2.208,1,INTERSECTION,2.00
36,35.5445998333,129.2558120000,5.767,2.264,1,INTERSECTION,2.00
37,35.5446005000,129.2558135000,5.903,2.338,1,INTERSECTION,2.00
38,35.5446010000,129.2558155000,6.084,2.393,1,INTERSECTION,2.00
39,35.5446016667,129.2558175000,6.265,2.468,1,INTERSECTION,2.00
40,35.5446020000,129.2558191667,6.416,2.505,1,INTERSECTION,2.00
41,35.5446026667,129.2558213333,6.612,2.579,1,INTERSECTION,2.00
42,35.5446031667,129.2558235000,6.808,2.635,1,INTERSECTION,2.00
43,35.5446038333,129.2558253333,6.974,2.709,1,INTERSECTION,2.00
44,35.5446043333,129.2558271667,7.140,2.764,1,INTERSECTION,2.00
45,35.5446050000,129.2558291667,7.322,2.839,1,INTERSECTION,2.00
46,35.5446055000,129.2558313333,7.518,2.894,1,INTERSECTION,2.00
47,35.5446058333,129.2558330000,7.669,2.931,1,INTERSECTION,2.00
48,35.5446065000,129.2558345000,7.805,3.006,1,INTERSECTION,2.00
49,35.5446070000,129.2558363333,7.971,3.061,1,INTERSECTION,2.00
50,35.5446075000,129.2558381667,8.137,3.117,1,INTERSECTION,2.00
51,35.5446075000,129.2558398333,8.288,3.117,1,INTERSECTION,2.00
52,35.5446075000,129.2558416667,8.454,3.117,1,INTERSECTION,2.00
53,35.5446081667,129.2558433333,8.605,3.191,1,INTERSECTION,2.00
54,35.5446086667,129.2558450000,8.756,3.247,1,INTERSECTION,2.00
55,35.5446093333,129.2558465000,8.892,3.321,1,INTERSECTION,2.00
56,35.5446098333,129.2558485000,9.073,3.377,1,INTERSECTION,2.00
57,35.5446103333,129.2558501667,9.224,3.432,1,INTERSECTION,2.00
58,35.5446108333,129.2558521667,9.405,3.488,1,INTERSECTION,2.00
59,35.5446113333,129.2558540000,9.571,3.544,1,INTERSECTION,2.00
60,35.5446120000,129.2558556667,9.722,3.618,1,INTERSECTION,2.00
61,35.5446126667,129.2558575000,9.888,3.692,1,INTERSECTION,2.00
62,35.5446131667,129.2558593333,10.054,3.748,1,INTERSECTION,2.00
63,35.5446138333,129.2558611667,10.220,3.822,1,INTERSECTION,2.00
64,35.5446141667,129.2558630000,10.386,3.859,1,INTERSECTION,2.00
65,35.5446146667,129.2558646667,10.537,3.915,1,INTERSECTION,2.00
66,35.5446153333,129.2558661667,10.673,3.989,1,INTERSECTION,2.00
67,35.5446160000,129.2558681667,10.854,4.063,1,INTERSECTION,2.00
68,35.5446165000,129.2558701667,11.035,4.119,1,INTERSECTION,2.00
69,35.5446171667,129.2558720000,11.201,4.193,1,INTERSECTION,2.00
70,35.5446176667,129.2558741667,11.398,4.249,1,INTERSECTION,2.00
71,35.5446181667,129.2558763333,11.594,4.304,1,INTERSECTION,2.00
72,35.5446190000,129.2558785000,11.790,4.397,1,INTERSECTION,2.00
73,35.5446198333,129.2558801667,11.941,4.490,1,INTERSECTION,2.00
74,35.5446205000,129.2558820000,12.107,4.564,1,INTERSECTION,2.00
75,35.5446211667,129.2558838333,12.273,4.638,1,INTERSECTION,2.00
76,35.5446218333,129.2558860000,12.469,4.713,1,INTERSECTION,2.00
77,35.5446223333,129.2558883333,12.681,4.768,1,INTERSECTION,2.00
78,35.5446230000,129.2558898333,12.817,4.842,1,INTERSECTION,2.00
79,35.5446240000,129.2558920000,13.013,4.954,1,INTERSECTION,2.00
80,35.5446246667,129.2558943333,13.224,5.028,1,INTERSECTION,2.00
81,35.5446250000,129.2558960000,13.375,5.065,1,INTERSECTION,2.00
82,35.5446253333,129.2558976667,13.526,5.102,1,INTERSECTION,2.00
83,35.5446256667,129.2558993333,13.677,5.139,1,INTERSECTION,2.00
84,35.5446265000,129.2559015000,13.873,5.232,1,INTERSECTION,2.00
85,35.5446273333,129.2559028333,13.994,5.325,1,INTERSECTION,2.00
86,35.5446278333,129.2559050000,14.190,5.380,1,INTERSECTION,2.00
87,35.5446285000,129.2559071667,14.387,5.455,1,INTERSECTION,2.00
88,35.5446291667,129.2559090000,14.553,5.529,1,INTERSECTION,2.00
89,35.5446296667,129.2559111667,14.749,5.585,1,INTERSECTION,2.00
90,35.5446303333,129.2559131667,14.930,5.659,1,INTERSECTION,2.00
91,35.5446295000,129.2559118333,14.809,5.566,1,INTERSECTION,2.00
92,35.5446295000,129.2559101667,14.658,5.566,1,INTERSECTION,2.00
93,35.5446291667,129.2559085000,14.507,5.529,1,INTERSECTION,2.00
94,35.5446285000,129.2559068333,14.356,5.455,1,INTERSECTION,2.00
95,35.5446281667,129.2559051667,14.205,5.418,1,INTERSECTION,2.00
96,35.5446273333,129.2559035000,14.055,5.325,1,INTERSECTION,2.00
97,35.5446268333,129.2559018333,13.904,5.269,1,INTERSECTION,2.00
98,35.5446263333,129.2559001667,13.753,5.213,1,INTERSECTION,2.00
99,35.5446256667,129.2558986667,13.617,5.139,1,INTERSECTION,2.00
100,35.5446253333,129.2558970000,13.466,5.102,1,INTERSECTION,2.00
101,35.5446248333,129.2558951667,13.300,5.047,1,INTERSECTION,2.00
102,35.5446246667,129.2558935000,13.149,5.028,1,INTERSECTION,2.00
103,35.5446240000,129.2558918333,12.998,4.954,1,INTERSECTION,2.00
