index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5448796667,129.2551046667,0.000,0.000,1,PARALLEL_PARK,2.00
1,35.5448799813,129.2551059306,0.114,0.035,1,PARALLEL_PARK,2.00
2,35.5448801071,129.2551081828,0.318,0.049,1,PARALLEL_PARK,2.00
3,35.5448802149,129.2551103467,0.514,0.061,1,PARALLEL_PARK,2.00
4,35.5448805023,129.2551119586,0.660,0.093,1,PARALLEL_PARK,2.00
5,35.5448811667,129.2551136667,0.815,0.167,1,PARALLEL_PARK,2.00
6,35.5448815000,129.2551153333,0.966,0.204,1,PARALLEL_PARK,2.00
7,35.5448821667,129.2551173333,1.147,0.278,1,PARALLEL_PARK,2.00
8,35.5448828333,129.2551190000,1.298,0.353,1,PARALLEL_PARK,2.00
9,35.5448840000,129.2551210000,1.479,0.482,1,PARALLEL_PARK,2.00
10,35.5448848333,129.2551225000,1.615,0.575,1,PARALLEL_PARK,2.00
11,35.5448855000,129.2551241667,1.766,0.649,1,PARALLEL_PARK,2.00
12,35.5448861667,129.2551260000,1.932,0.724,1,PARALLEL_PARK,2.00
13,35.5448866667,129.2551280000,2.113,0.779,1,PARALLEL_PARK,2.00
14,35.5448873333,129.2551296667,2.264,0.853,1,PARALLEL_PARK,2.00
15,35.5448885000,129.2551313333,2.415,0.983,1,PARALLEL_PARK,2.00
16,35.5448893333,129.2551330000,2.566,1.076,1,PARALLEL_PARK,2.00
17,35.5448901861,129.2551347680,2.726,1.171,1,PARALLEL_PARK,2.00
18,35.5448908333,129.2551366667,2.898,1.243,1,PARALLEL_PARK,2.00
19,35.5448916667,129.2551385000,3.065,1.336,1,PARALLEL_PARK,2.00
20,35.5448920906,129.2551405090,3.246,1.383,1,PARALLEL_PARK,2.00
21,35.5448921667,129.2551423333,3.412,1.392,1,PARALLEL_PARK,2.00
22,35.5448926834,129.2551443290,3.592,1.449,1,PARALLEL_PARK,2.00
23,35.5448935000,129.2551460000,3.744,1.540,1,PARALLEL_PARK,2.00
