index,x_m,y_m,yaw,direction,drive_level
0,-0.000000,0.000000,0.000000000,1,1.0
1,0.105405,0.000000,-0.064159699,1,1.0
2,0.242805,-0.008828,-0.066501705,1,1.0
3,0.417107,-0.020436,-0.113221967,1,1.0
4,0.634960,-0.045208,-0.011939601,1,1.0
5,0.819329,-0.047409,-0.103486114,1,1.0
6,1.031567,-0.069452,-0.169354821,1,1.0
7,1.204581,-0.099036,-0.251494550,1,1.0
8,1.404955,-0.150519,-0.333173851,1,1.0
9,1.613945,-0.222845,-0.327556314,1,1.0
10,1.810811,-0.289739,-0.327580348,1,1.0
11,2.007681,-0.356641,-0.333802586,1,1.0
12,2.218794,-0.429850,-0.399904951,1,1.0
13,2.385766,-0.500426,-0.513571760,1,1.0
14,2.588897,-0.615004,-0.598171243,1,1.0
15,2.748753,-0.723938,-0.633178049,1,1.0
16,2.914608,-0.845675,-0.605512362,1,1.0
17,3.072510,-0.954984,-0.657450106,1,1.0
18,3.246320,-1.089170,-0.719913317,1,1.0
19,3.396538,-1.220899,-0.819833389,1,1.0
20,3.548587,-1.383797,-0.841864820,1,1.0
21,3.689561,-1.541663,-0.905882556,1,1.0
22,3.808504,-1.693375,-0.905830255,1,1.0
23,3.927461,-1.845088,-0.918618633,1,1.0
24,4.062312,-2.021676,-1.002234913,1,1.0
25,4.165632,-2.183380,-1.091794306,1,1.0
26,4.261258,-2.367510,-1.098639572,1,1.0
27,4.348940,-2.539206,-1.179888058,1,1.0
28,4.428938,-2.733321,-1.098639572,1,1.0
29,4.516620,-2.905017,-1.082054831,1,1.0
30,4.613308,-3.086840,-1.158101420,1,1.0
31,4.683429,-3.246992,-1.246173035,1,1.0
32,4.748405,-3.440069,-1.265336717,1,1.0
33,4.812766,-3.644176,-1.306697351,1,1.0
34,4.861233,-3.823407,-1.265336717,1,1.0
35,4.925594,-4.027514,-1.265325780,1,1.0
36,4.989959,-4.231628,-1.371291778,1,1.0
37,5.030733,-4.433285,-1.452520635,1,1.0
38,5.055883,-4.644935,-1.496354314,1,1.0
39,5.073341,-4.879011,-1.484662346,1,1.0
40,5.090542,-5.078219,-1.527902463,1,1.0
41,5.100055,-5.299861,-1.490195923,1,1.0
42,5.117136,-5.511328,-1.558435951,1,1.0
43,5.119793,-5.726292,-1.672127789,1,1.0
44,5.097057,-5.949894,-1.742799904,1,1.0
45,5.059406,-6.166630,-1.676913513,1,1.0
46,5.037384,-6.373381,-1.790375998,1,1.0
47,4.991788,-6.577684,-1.790409665,1,1.0
48,4.946183,-6.781993,-1.893764276,1,1.0
49,4.883453,-6.969423,-1.907935089,1,1.0
50,4.815507,-7.163266,-2.006244481,1,1.0
51,4.722738,-7.362669,-1.964874201,1,1.0
52,4.653300,-7.529656,-2.006244481,1,1.0
53,4.560531,-7.729060,-2.018899420,1,1.0
54,4.475455,-7.906037,-2.127644593,1,1.0
55,4.366802,-8.080561,-2.127672033,1,1.0
56,4.258140,-8.255089,-2.226040074,1,1.0
57,4.125900,-8.427162,-2.127672033,1,1.0
58,4.017237,-8.601691,-2.223090977,1,1.0
59,3.888169,-8.770665,-2.292970914,1,1.0
