index,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,event,source_segment_id,source_point_index
0,0.000,-0.000,0.000,1,1,2.00,NONE,SEG01,0
1,0.200,-0.000,-0.041,1,1,2.00,NONE,SEG01,1
2,0.400,-0.001,-0.094,1,1,2.00,NONE,SEG01,1
3,0.600,-0.000,-0.196,1,1,2.00,NONE,SEG01,2
4,0.800,0.000,-0.266,1,1,2.00,NONE,SEG01,2
5,1.000,-0.001,-0.258,1,1,2.00,NONE,SEG01,2
6,1.200,-0.002,-0.250,1,1,2.00,NONE,SEG01,3
7,1.400,-0.003,-0.242,1,1,2.00,NONE,SEG01,3
8,1.600,-0.004,-0.212,1,1,2.00,NONE,SEG01,3
9,1.800,-0.005,-0.079,1,1,2.00,NONE,SEG01,3
10,2.000,-0.005,0.055,1,1,2.00,NONE,SEG01,4
11,2.200,-0.006,0.189,1,1,2.00,NONE,SEG01,4
12,2.400,-0.007,0.297,1,1,2.00,NONE,SEG01,4
13,2.600,-0.006,0.373,1,1,2.00,NONE,SEG01,4
14,2.800,-0.005,0.505,1,1,2.00,NONE,SEG01,4
15,3.000,-0.004,0.638,1,1,2.00,NONE,SEG01,5
16,3.200,-0.003,0.771,1,1,2.00,NONE,SEG01,5
17,3.400,-0.000,0.827,1,1,2.00,NONE,SEG01,5
18,3.600,0.002,0.895,1,1,2.00,NONE,SEG01,5
19,3.800,0.005,0.973,1,1,2.00,NONE,SEG01,6
20,4.000,0.008,1.051,1,1,2.00,NONE,SEG01,6
21,4.200,0.011,1.129,1,1,2.00,NONE,SEG01,6
22,4.400,0.015,1.154,1,1,2.00,NONE,SEG01,6
23,4.600,0.019,1.418,1,1,2.00,NONE,SEG01,6
24,4.800,0.023,1.682,1,1,2.00,NONE,SEG01,7
25,5.000,0.027,1.947,1,1,2.00,NONE,SEG01,7
26,5.200,0.031,2.196,1,1,2.00,NONE,SEG01,7
27,5.400,0.039,2.248,1,1,2.00,NONE,SEG01,7
28,5.599,0.046,2.436,1,1,2.00,NONE,SEG01,7
29,5.799,0.054,2.624,1,1,2.00,NONE,SEG01,8
30,5.999,0.062,2.812,1,1,2.00,NONE,SEG01,8
31,6.199,0.070,2.948,1,1,2.00,NONE,SEG01,8
32,6.399,0.080,2.957,1,1,2.00,NONE,SEG01,8
33,6.598,0.091,2.980,1,1,2.00,NONE,SEG01,8
34,6.798,0.101,3.002,1,1,2.00,NONE,SEG01,9
35,6.998,0.111,3.025,1,1,2.00,NONE,SEG01,9
36,7.198,0.122,3.038,1,1,2.00,NONE,SEG01,9
37,7.397,0.132,3.025,1,1,2.00,NONE,SEG01,9
38,7.597,0.143,2.991,1,1,2.00,NONE,SEG01,9
39,7.797,0.153,2.958,1,1,2.00,NONE,SEG01,10
40,7.996,0.164,2.924,1,1,2.00,NONE,SEG01,10
41,8.196,0.174,2.903,1,1,2.00,NONE,SEG01,10
42,8.396,0.185,2.920,1,1,2.00,NONE,SEG01,10
43,8.596,0.195,2.963,1,1,2.00,NONE,SEG01,10
44,8.795,0.205,3.006,1,1,2.00,NONE,SEG01,11
45,8.995,0.215,3.050,1,1,2.00,NONE,SEG01,11
46,9.195,0.225,3.076,1,1,2.00,NONE,SEG01,11
47,9.395,0.236,3.085,1,1,2.00,NONE,SEG01,11
48,9.594,0.247,3.107,1,1,2.00,NONE,SEG01,11
49,9.794,0.258,3.130,1,1,2.00,NONE,SEG01,12
50,9.994,0.268,3.152,1,1,2.00,NONE,SEG01,12
51,10.193,0.279,3.166,1,1,2.00,NONE,SEG01,12
52,10.393,0.290,3.151,1,1,2.00,NONE,SEG01,12
53,10.593,0.301,3.105,1,1,2.00,NONE,SEG01,12
54,10.793,0.312,3.060,1,1,2.00,NONE,SEG01,13
55,10.992,0.323,3.014,1,1,2.00,NONE,SEG01,13
56,11.192,0.334,2.983,1,1,2.00,NONE,SEG01,13
57,11.392,0.345,3.010,1,1,2.00,NONE,SEG01,13
58,11.591,0.355,3.086,1,1,2.00,NONE,SEG01,13
59,11.791,0.365,3.163,1,1,2.00,NONE,SEG01,14
