index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5447411667,129.2553485000,0.000,0.000,1,PARALLEL_PARK,1.00
1,35.5447396667,129.2553490000,0.045,-0.167,1,PARALLEL_PARK,1.00
2,35.5447380000,129.2553490000,0.045,-0.353,1,PARALLEL_PARK,1.00
3,35.5447366667,129.2553496667,0.106,-0.501,1,PARALLEL_PARK,1.00
4,35.5447355000,129.2553506667,0.196,-0.631,1,PARALLEL_PARK,1.00
5,35.5447341667,129.2553515000,0.272,-0.779,1,PARALLEL_PARK,1.00
6,35.5447328333,129.2553521667,0.332,-0.928,1,PARALLEL_PARK,1.00
7,35.5447311667,129.2553526667,0.377,-1.113,1,PARALLEL_PARK,1.00
8,35.5447295000,129.2553533333,0.438,-1.299,1,PARALLEL_PARK,1.00
9,35.5447280000,129.2553545000,0.543,-1.466,1,PARALLEL_PARK,1.00
10,35.5447268333,129.2553553333,0.619,-1.596,1,PARALLEL_PARK,1.00
11,35.5447251667,129.2553563333,0.710,-1.781,1,PARALLEL_PARK,1.00
12,35.5447236667,129.2553570000,0.770,-1.948,1,PARALLEL_PARK,1.00
13,35.5447221667,129.2553571667,0.785,-2.115,1,PARALLEL_PARK,1.00
14,35.5447206667,129.2553580000,0.860,-2.282,1,PARALLEL_PARK,1.00
15,35.5447190000,129.2553590000,0.951,-2.468,1,PARALLEL_PARK,1.00
16,35.5447173333,129.2553600000,1.042,-2.653,1,PARALLEL_PARK,1.00
17,35.5447156667,129.2553608333,1.117,-2.839,1,PARALLEL_PARK,1.00
18,35.5447143333,129.2553611667,1.147,-2.987,1,PARALLEL_PARK,1.00
19,35.5447130000,129.2553615000,1.177,-3.136,1,PARALLEL_PARK,1.00
20,35.5447111667,129.2553621667,1.238,-3.340,1,PARALLEL_PARK,1.00
21,35.5447098333,129.2553630000,1.313,-3.488,1,PARALLEL_PARK,1.00
22,35.5447085000,129.2553636667,1.374,-3.636,1,PARALLEL_PARK,1.00
23,35.5447066667,129.2553645000,1.449,-3.841,1,PARALLEL_PARK,1.00
24,35.5447046667,129.2553651667,1.510,-4.063,1,PARALLEL_PARK,1.00
25,35.5447028333,129.2553655000,1.540,-4.267,1,PARALLEL_PARK,1.00
26,35.5447010000,129.2553665000,1.630,-4.471,1,PARALLEL_PARK,1.00
27,35.5446998333,129.2553673333,1.706,-4.601,1,PARALLEL_PARK,1.00
28,35.5446981667,129.2553681667,1.781,-4.787,1,PARALLEL_PARK,1.00
29,35.5446970000,129.2553690000,1.857,-4.917,1,PARALLEL_PARK,1.00
30,35.5446955000,129.2553693333,1.887,-5.084,1,PARALLEL_PARK,1.00
31,35.5446940000,129.2553700000,1.947,-5.251,1,PARALLEL_PARK,1.00
32,35.5446926667,129.2553706667,2.008,-5.399,1,PARALLEL_PARK,1.00
33,35.5446915000,129.2553715000,2.083,-5.529,1,PARALLEL_PARK,1.00
34,35.5446901667,129.2553720000,2.129,-5.677,1,PARALLEL_PARK,1.00
35,35.5446883333,129.2553726667,2.189,-5.881,1,PARALLEL_PARK,1.00
36,35.5446868333,129.2553730000,2.219,-6.048,1,PARALLEL_PARK,1.00
37,35.5446851667,129.2553736667,2.280,-6.234,1,PARALLEL_PARK,1.00
38,35.5446831667,129.2553743333,2.340,-6.457,1,PARALLEL_PARK,1.00
39,35.5446820000,129.2553753333,2.430,-6.586,1,PARALLEL_PARK,1.00
40,35.5446805000,129.2553763333,2.521,-6.753,1,PARALLEL_PARK,1.00
41,35.5446791667,129.2553768333,2.566,-6.902,1,PARALLEL_PARK,1.00
42,35.5446776667,129.2553773333,2.612,-7.069,1,PARALLEL_PARK,1.00
43,35.5446758333,129.2553781667,2.687,-7.273,1,PARALLEL_PARK,1.00
44,35.5446741667,129.2553791667,2.778,-7.458,1,PARALLEL_PARK,1.00
45,35.5446725000,129.2553801667,2.868,-7.644,1,PARALLEL_PARK,1.00
46,35.5446711667,129.2553806667,2.914,-7.792,1,PARALLEL_PARK,1.00
47,35.5446693333,129.2553811667,2.959,-7.996,1,PARALLEL_PARK,1.00
48,35.5446675000,129.2553815000,2.989,-8.201,1,PARALLEL_PARK,1.00
49,35.5446656667,129.2553820000,3.034,-8.405,1,PARALLEL_PARK,1.00
50,35.5446643333,129.2553825000,3.080,-8.553,1,PARALLEL_PARK,1.00
51,35.5446626667,129.2553833333,3.155,-8.739,1,PARALLEL_PARK,1.00
