index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5449195000,129.2554130000,0.000,0.000,1,T_PARK,1.00
1,35.5449208333,129.2554113333,-0.151,0.148,1,T_PARK,1.00
2,35.5449221667,129.2554096667,-0.302,0.297,1,T_PARK,1.00
3,35.5449235000,129.2554080000,-0.453,0.445,1,T_PARK,1.00
4,35.5449246667,129.2554065000,-0.589,0.575,1,T_PARK,1.00
5,35.5449256667,129.2554051667,-0.710,0.686,1,T_PARK,1.00
6,35.5449266667,129.2554038333,-0.830,0.798,1,T_PARK,1.00
7,35.5449280000,129.2554025000,-0.951,0.946,1,T_PARK,1.00
8,35.5449291667,129.2554013333,-1.057,1.076,1,T_PARK,1.00
9,35.5449301667,129.2554001667,-1.162,1.187,1,T_PARK,1.00
10,35.5449313333,129.2553988333,-1.283,1.317,1,T_PARK,1.00
11,35.5449323333,129.2553975000,-1.404,1.429,1,T_PARK,1.00
12,35.5449336667,129.2553965000,-1.495,1.577,1,T_PARK,1.00
13,35.5449350000,129.2553953333,-1.600,1.725,1,T_PARK,1.00
14,35.5449363333,129.2553941667,-1.706,1.874,1,T_PARK,1.00
15,35.5449378333,129.2553928333,-1.827,2.041,1,T_PARK,1.00
16,35.5449390000,129.2553920000,-1.902,2.171,1,T_PARK,1.00
17,35.5449408333,129.2553910000,-1.993,2.375,1,T_PARK,1.00
18,35.5449421667,129.2553905000,-2.038,2.523,1,T_PARK,1.00
19,35.5449440000,129.2553898333,-2.098,2.727,1,T_PARK,1.00
20,35.5449456667,129.2553891667,-2.159,2.913,1,T_PARK,1.00
21,35.5449470000,129.2553888333,-2.189,3.061,1,T_PARK,1.00
22,35.5449486667,129.2553885000,-2.219,3.247,1,T_PARK,1.00
23,35.5449503333,129.2553885000,-2.219,3.432,1,T_PARK,1.00
24,35.5449520000,129.2553888333,-2.189,3.618,1,T_PARK,1.00
25,35.5449535000,129.2553891667,-2.159,3.785,1,T_PARK,1.00
