index,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,event,source_segment_id,source_point_index
0,1.081892,-0.506308,160.936,1,1,2,NONE,START_A,0
1,0.991148,-0.474949,158.714,1,1,2,NONE,START_A,1
2,0.823256,-0.405541,157.734,1,1,2,NONE,START_A,2
3,0.682180,-0.348445,158.963,1,1,2,NONE,START_A,3
4,0.517600,-0.287987,162.103,1,1,2,NONE,START_A,4
5,0.359732,-0.244316,166.054,1,1,2,NONE,START_A,5
6,0.149780,-0.196649,164.489,1,1,2,NONE,START_A,6
7,-0.012586,-0.140989,160.611,1,1,2,NONE,START_A,7
8,-0.219244,-0.066772,159.574,1,1,2,NONE,START_A,8
9,-0.411129,0.007434,158.856,1,1,2,NONE,START_A,9
10,-0.603023,0.081651,161.950,1,1,2,NONE,START_A,10
11,-0.809672,0.137311,167.773,1,1,2,NONE,START_A,11
12,-1.031085,0.174414,166.921,1,1,2,NONE,START_A,12
13,-1.248255,0.239202,160.876,1,1,2,NONE,START_A,13
14,-1.459155,0.322848,157.802,1,1,2,NONE,START_A,14
15,-1.680568,0.415611,159.155,1,1,2,NONE,START_A,15
16,-1.913999,0.496040,162.029,1,1,2,NONE,START_A,16
17,-2.138148,0.564034,164.964,1,1,2,NONE,START_A,17
18,-2.374325,0.619694,164.626,1,1,2,NONE,START_A,18
19,-2.610501,0.693911,159.952,1,1,2,NONE,START_A,19
20,-2.831914,0.786674,157.929,1,1,2,NONE,START_A,20
21,-3.068082,0.879448,161.078,1,1,2,NONE,START_A,21
22,-3.319022,0.953654,165.072,1,1,2,NONE,START_A,22
23,-3.555190,1.009314,166.327,1,1,2,NONE,START_A,23
24,-3.776602,1.064974,164.155,1,1,2,NONE,START_A,24
25,-4.012779,1.139191,162.028,1,1,2,NONE,START_A,25
26,-4.234192,1.213408,161.994,1,1,2,NONE,START_A,26
27,-4.474203,1.289173,163.054,1,1,2,NONE,START_A,27
28,-4.721300,1.361831,163.569,1,1,2,NONE,START_A,28
29,-4.972231,1.436048,164.626,1,1,2,NONE,START_A,29
