index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5446890000,129.2553368333,0.000,0.000,1,INTERSECTION,2.00
1,35.5446891667,129.2553385000,0.151,0.019,1,INTERSECTION,2.00
2,35.5446905000,129.2553395000,0.242,0.167,1,INTERSECTION,2.00
3,35.5446923333,129.2553390000,0.196,0.371,1,INTERSECTION,2.00
4,35.5446938333,129.2553386667,0.166,0.538,1,INTERSECTION,2.00
5,35.5446953333,129.2553386667,0.166,0.705,1,INTERSECTION,2.00
6,35.5446968333,129.2553381667,0.121,0.872,1,INTERSECTION,2.00
7,35.5446981667,129.2553376667,0.075,1.020,1,INTERSECTION,2.00
8,35.5446996667,129.2553371667,0.030,1.187,1,INTERSECTION,2.00
9,35.5447011667,129.2553366667,-0.015,1.354,1,INTERSECTION,2.00
10,35.5447028333,129.2553365000,-0.030,1.540,1,INTERSECTION,2.00
11,35.5447045000,129.2553363333,-0.045,1.725,1,INTERSECTION,2.00
12,35.5447061667,129.2553363333,-0.045,1.911,1,INTERSECTION,2.00
13,35.5447076667,129.2553361667,-0.060,2.078,1,INTERSECTION,2.00
14,35.5447091667,129.2553356667,-0.106,2.245,1,INTERSECTION,2.00
15,35.5447108333,129.2553351667,-0.151,2.430,1,INTERSECTION,2.00
16,35.5447125000,129.2553350000,-0.166,2.616,1,INTERSECTION,2.00
17,35.5447143333,129.2553345000,-0.211,2.820,1,INTERSECTION,2.00
18,35.5447160000,129.2553340000,-0.257,3.006,1,INTERSECTION,2.00
19,35.5447175000,129.2553335000,-0.302,3.173,1,INTERSECTION,2.00
20,35.5447191667,129.2553328333,-0.362,3.358,1,INTERSECTION,2.00
21,35.5447205000,129.2553320000,-0.438,3.507,1,INTERSECTION,2.00
22,35.5447220000,129.2553313333,-0.498,3.674,1,INTERSECTION,2.00
23,35.5447235000,129.2553305000,-0.574,3.841,1,INTERSECTION,2.00
24,35.5447250000,129.2553300000,-0.619,4.008,1,INTERSECTION,2.00
25,35.5447261667,129.2553290000,-0.710,4.137,1,INTERSECTION,2.00
26,35.5447276667,129.2553281667,-0.785,4.304,1,INTERSECTION,2.00
27,35.5447288333,129.2553271667,-0.876,4.434,1,INTERSECTION,2.00
28,35.5447301667,129.2553263333,-0.951,4.583,1,INTERSECTION,2.00
29,35.5447316667,129.2553256667,-1.011,4.750,1,INTERSECTION,2.00
30,35.5447330000,129.2553248333,-1.087,4.898,1,INTERSECTION,2.00
31,35.5447341667,129.2553238333,-1.177,5.028,1,INTERSECTION,2.00
32,35.5447355000,129.2553228333,-1.268,5.176,1,INTERSECTION,2.00
33,35.5447368333,129.2553216667,-1.374,5.325,1,INTERSECTION,2.00
34,35.5447381667,129.2553205000,-1.479,5.473,1,INTERSECTION,2.00
35,35.5447391667,129.2553191667,-1.600,5.585,1,INTERSECTION,2.00
