index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5446918333,129.2553341667,0.000,0.000,1,INTERSECTION,2.00
1,35.5446933333,129.2553335000,-0.060,0.167,1,INTERSECTION,2.00
2,35.5446948333,129.2553325000,-0.151,0.334,1,INTERSECTION,2.00
3,35.5446963333,129.2553313333,-0.257,0.501,1,INTERSECTION,2.00
4,35.5446980000,129.2553306667,-0.317,0.686,1,INTERSECTION,2.00
5,35.5446995000,129.2553301667,-0.362,0.853,1,INTERSECTION,2.00
6,35.5447015000,129.2553293333,-0.438,1.076,1,INTERSECTION,2.00
7,35.5447028333,129.2553285000,-0.513,1.225,1,INTERSECTION,2.00
8,35.5447041667,129.2553276667,-0.589,1.373,1,INTERSECTION,2.00
9,35.5447056667,129.2553270000,-0.649,1.540,1,INTERSECTION,2.00
10,35.5447070000,129.2553260000,-0.740,1.688,1,INTERSECTION,2.00
11,35.5447088333,129.2553253333,-0.800,1.892,1,INTERSECTION,2.00
12,35.5447108333,129.2553245000,-0.876,2.115,1,INTERSECTION,2.00
13,35.5447123333,129.2553236667,-0.951,2.282,1,INTERSECTION,2.00
14,35.5447138333,129.2553228333,-1.027,2.449,1,INTERSECTION,2.00
15,35.5447151667,129.2553221667,-1.087,2.597,1,INTERSECTION,2.00
16,35.5447168333,129.2553215000,-1.147,2.783,1,INTERSECTION,2.00
17,35.5447183333,129.2553208333,-1.208,2.950,1,INTERSECTION,2.00
18,35.5447198333,129.2553203333,-1.253,3.117,1,INTERSECTION,2.00
19,35.5447215000,129.2553193333,-1.344,3.302,1,INTERSECTION,2.00
20,35.5447230000,129.2553185000,-1.419,3.469,1,INTERSECTION,2.00
21,35.5447245000,129.2553180000,-1.464,3.636,1,INTERSECTION,2.00
22,35.5447258333,129.2553173333,-1.525,3.785,1,INTERSECTION,2.00
23,35.5447276667,129.2553170000,-1.555,3.989,1,INTERSECTION,2.00
24,35.5447290000,129.2553165000,-1.600,4.137,1,INTERSECTION,2.00
25,35.5447305000,129.2553155000,-1.691,4.304,1,INTERSECTION,2.00
26,35.5447321667,129.2553146667,-1.766,4.490,1,INTERSECTION,2.00
27,35.5447336667,129.2553143333,-1.796,4.657,1,INTERSECTION,2.00
28,35.5447353333,129.2553136667,-1.857,4.842,1,INTERSECTION,2.00
29,35.5447371667,129.2553130000,-1.917,5.047,1,INTERSECTION,2.00
30,35.5447388333,129.2553123333,-1.978,5.232,1,INTERSECTION,2.00
31,35.5447403333,129.2553115000,-2.053,5.399,1,INTERSECTION,2.00
32,35.5447418333,129.2553103333,-2.159,5.566,1,INTERSECTION,2.00
33,35.5447433333,129.2553098333,-2.204,5.733,1,INTERSECTION,2.00
34,35.5447448333,129.2553090000,-2.280,5.900,1,INTERSECTION,2.00
35,35.5447466667,129.2553083333,-2.340,6.104,1,INTERSECTION,2.00
36,35.5447480000,129.2553078333,-2.385,6.252,1,INTERSECTION,2.00
37,35.5447495000,129.2553073333,-2.430,6.419,1,INTERSECTION,2.00
38,35.5447511667,129.2553066667,-2.491,6.605,1,INTERSECTION,2.00
39,35.5447526667,129.2553061667,-2.536,6.772,1,INTERSECTION,2.00
40,35.5447541667,129.2553056667,-2.581,6.939,1,INTERSECTION,2.00
41,35.5447560000,129.2553053333,-2.612,7.143,1,INTERSECTION,2.00
42,35.5447575000,129.2553053333,-2.612,7.310,1,INTERSECTION,2.00
43,35.5447590000,129.2553045000,-2.687,7.477,1,INTERSECTION,2.00
44,35.5447606667,129.2553041667,-2.717,7.663,1,INTERSECTION,2.00
45,35.5447621667,129.2553038333,-2.747,7.830,1,INTERSECTION,2.00
46,35.5447636667,129.2553035000,-2.778,7.996,1,INTERSECTION,2.00
47,35.5447653333,129.2553033333,-2.793,8.182,1,INTERSECTION,2.00
48,35.5447670000,129.2553033333,-2.793,8.368,1,INTERSECTION,2.00
49,35.5447685000,129.2553031667,-2.808,8.535,1,INTERSECTION,2.00
50,35.5447700000,129.2553031667,-2.808,8.702,1,INTERSECTION,2.00
51,35.5447716667,129.2553030000,-2.823,8.887,1,INTERSECTION,2.00
52,35.5447736667,129.2553033333,-2.793,9.110,1,INTERSECTION,2.00
53,35.5447750000,129.2553046667,-2.672,9.258,1,INTERSECTION,2.00
54,35.5447766667,129.2553051667,-2.627,9.444,1,INTERSECTION,2.00
55,35.5447780000,129.2553056667,-2.581,9.592,1,INTERSECTION,2.00
56,35.5447795000,129.2553060000,-2.551,9.759,1,INTERSECTION,2.00
57,35.5447810000,129.2553065000,-2.506,9.926,1,INTERSECTION,2.00
58,35.5447823333,129.2553073333,-2.430,10.074,1,INTERSECTION,2.00
59,35.5447836667,129.2553081667,-2.355,10.223,1,INTERSECTION,2.00
60,35.5447850000,129.2553091667,-2.264,10.371,1,INTERSECTION,2.00
61,35.5447861667,129.2553101667,-2.174,10.501,1,INTERSECTION,2.00
62,35.5447875000,129.2553111667,-2.083,10.650,1,INTERSECTION,2.00
63,35.5447890000,129.2553123333,-1.978,10.817,1,INTERSECTION,2.00
64,35.5447905000,129.2553140000,-1.827,10.984,1,INTERSECTION,2.00
65,35.5447916667,129.2553153333,-1.706,11.113,1,INTERSECTION,2.00
66,35.5447925000,129.2553170000,-1.555,11.206,1,INTERSECTION,2.00
67,35.5447938333,129.2553190000,-1.374,11.355,1,INTERSECTION,2.00
68,35.5447946667,129.2553203333,-1.253,11.447,1,INTERSECTION,2.00
69,35.5447958333,129.2553216667,-1.132,11.577,1,INTERSECTION,2.00
70,35.5447966667,129.2553230000,-1.011,11.670,1,INTERSECTION,2.00
71,35.5447975000,129.2553245000,-0.876,11.763,1,INTERSECTION,2.00
72,35.5447983333,129.2553263333,-0.710,11.856,1,INTERSECTION,2.00
73,35.5447991667,129.2553278333,-0.574,11.948,1,INTERSECTION,2.00
74,35.5448000000,129.2553293333,-0.438,12.041,1,INTERSECTION,2.00
75,35.5448006667,129.2553310000,-0.287,12.115,1,INTERSECTION,2.00
76,35.5448013333,129.2553325000,-0.151,12.190,1,INTERSECTION,2.00
77,35.5448021667,129.2553341667,0.000,12.282,1,INTERSECTION,2.00
78,35.5448028333,129.2553360000,0.166,12.357,1,INTERSECTION,2.00
79,35.5448035000,129.2553376667,0.317,12.431,1,INTERSECTION,2.00
80,35.5448043333,129.2553395000,0.483,12.524,1,INTERSECTION,2.00
81,35.5448050000,129.2553411667,0.634,12.598,1,INTERSECTION,2.00
82,35.5448056667,129.2553428333,0.785,12.672,1,INTERSECTION,2.00
83,35.5448061667,129.2553446667,0.951,12.728,1,INTERSECTION,2.00
84,35.5448066667,129.2553466667,1.132,12.783,1,INTERSECTION,2.00
85,35.5448070000,129.2553485000,1.298,12.820,1,INTERSECTION,2.00
86,35.5448078333,129.2553503333,1.464,12.913,1,INTERSECTION,2.00
87,35.5448086667,129.2553521667,1.630,13.006,1,INTERSECTION,2.00
88,35.5448093333,129.2553540000,1.796,13.080,1,INTERSECTION,2.00
89,35.5448100000,129.2553556667,1.947,13.154,1,INTERSECTION,2.00
90,35.5448105000,129.2553576667,2.129,13.210,1,INTERSECTION,2.00
91,35.5448111667,129.2553595000,2.295,13.284,1,INTERSECTION,2.00
92,35.5448118333,129.2553613333,2.461,13.358,1,INTERSECTION,2.00
93,35.5448126667,129.2553631667,2.627,13.451,1,INTERSECTION,2.00
94,35.5448135000,129.2553650000,2.793,13.544,1,INTERSECTION,2.00
95,35.5448140000,129.2553666667,2.944,13.600,1,INTERSECTION,2.00
96,35.5448146667,129.2553685000,3.110,13.674,1,INTERSECTION,2.00
97,35.5448151667,129.2553701667,3.261,13.729,1,INTERSECTION,2.00
98,35.5448158333,129.2553716667,3.397,13.804,1,INTERSECTION,2.00
99,35.5448165000,129.2553731667,3.532,13.878,1,INTERSECTION,2.00
100,35.5448175000,129.2553751667,3.714,13.989,1,INTERSECTION,2.00
101,35.5448180000,129.2553770000,3.880,14.045,1,INTERSECTION,2.00
