index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5446885000,129.2553350000,0.000,0.000,1,INTERSECTION,2.00
1,35.5446883333,129.2553333333,-0.151,-0.019,1,INTERSECTION,2.00
2,35.5446898333,129.2553335000,-0.136,0.148,1,INTERSECTION,2.00
3,35.5446900000,129.2553316667,-0.302,0.167,1,INTERSECTION,2.00
4,35.5446886667,129.2553305000,-0.408,0.019,1,INTERSECTION,2.00
5,35.5446903333,129.2553310000,-0.362,0.204,1,INTERSECTION,2.00
6,35.5446913333,129.2553296667,-0.483,0.315,1,INTERSECTION,2.00
7,35.5446928333,129.2553300000,-0.453,0.482,1,INTERSECTION,2.00
8,35.5446938333,129.2553315000,-0.317,0.594,1,INTERSECTION,2.00
9,35.5446946667,129.2553330000,-0.181,0.686,1,INTERSECTION,2.00
10,35.5446961667,129.2553325000,-0.226,0.853,1,INTERSECTION,2.00
11,35.5446961667,129.2553300000,-0.453,0.853,1,INTERSECTION,2.00
12,35.5446976667,129.2553308333,-0.377,1.020,1,INTERSECTION,2.00
13,35.5446983333,129.2553293333,-0.513,1.095,1,INTERSECTION,2.00
14,35.5446991667,129.2553273333,-0.694,1.187,1,INTERSECTION,2.00
15,35.5447013333,129.2553273333,-0.694,1.429,1,INTERSECTION,2.00
16,35.5447028333,129.2553263333,-0.785,1.596,1,INTERSECTION,2.00
17,35.5447043333,129.2553261667,-0.800,1.763,1,INTERSECTION,2.00
18,35.5447060000,129.2553270000,-0.725,1.948,1,INTERSECTION,2.00
19,35.5447078333,129.2553281667,-0.619,2.152,1,INTERSECTION,2.00
20,35.5447093333,129.2553280000,-0.634,2.319,1,INTERSECTION,2.00
21,35.5447106667,129.2553283333,-0.604,2.468,1,INTERSECTION,2.00
22,35.5447125000,129.2553281667,-0.619,2.672,1,INTERSECTION,2.00
23,35.5447143333,129.2553268333,-0.740,2.876,1,INTERSECTION,2.00
24,35.5447158333,129.2553265000,-0.770,3.043,1,INTERSECTION,2.00
25,35.5447176667,129.2553256667,-0.845,3.247,1,INTERSECTION,2.00
26,35.5447190000,129.2553243333,-0.966,3.395,1,INTERSECTION,2.00
27,35.5447208333,129.2553233333,-1.057,3.599,1,INTERSECTION,2.00
28,35.5447228333,129.2553215000,-1.223,3.822,1,INTERSECTION,2.00
29,35.5447238333,129.2553201667,-1.344,3.933,1,INTERSECTION,2.00
30,35.5447246667,129.2553186667,-1.479,4.026,1,INTERSECTION,2.00
31,35.5447251667,129.2553170000,-1.630,4.082,1,INTERSECTION,2.00
32,35.5447268333,129.2553170000,-1.630,4.267,1,INTERSECTION,2.00
33,35.5447293333,129.2553186667,-1.479,4.546,1,INTERSECTION,2.00
34,35.5447306667,129.2553198333,-1.374,4.694,1,INTERSECTION,2.00
35,35.5447320000,129.2553211667,-1.253,4.842,1,INTERSECTION,2.00
36,35.5447333333,129.2553223333,-1.147,4.991,1,INTERSECTION,2.00
37,35.5447353333,129.2553218333,-1.193,5.213,1,INTERSECTION,2.00
38,35.5447368333,129.2553235000,-1.042,5.380,1,INTERSECTION,2.00
39,35.5447388333,129.2553261667,-0.800,5.603,1,INTERSECTION,2.00
40,35.5447406667,129.2553291667,-0.528,5.807,1,INTERSECTION,2.00
41,35.5447425000,129.2553320000,-0.272,6.011,1,INTERSECTION,2.00
42,35.5447446667,129.2553350000,0.000,6.252,1,INTERSECTION,2.00
43,35.5447461667,129.2553368333,0.166,6.419,1,INTERSECTION,2.00
44,35.5447475000,129.2553386667,0.332,6.568,1,INTERSECTION,2.00
45,35.5447486667,129.2553401667,0.468,6.698,1,INTERSECTION,2.00
46,35.5447500000,129.2553415000,0.589,6.846,1,INTERSECTION,2.00
47,35.5447515000,129.2553438333,0.800,7.013,1,INTERSECTION,2.00
48,35.5447533333,129.2553465000,1.042,7.217,1,INTERSECTION,2.00
49,35.5447548333,129.2553488333,1.253,7.384,1,INTERSECTION,2.00
50,35.5447556667,129.2553510000,1.449,7.477,1,INTERSECTION,2.00
51,35.5447561667,129.2553526667,1.600,7.533,1,INTERSECTION,2.00
52,35.5447571667,129.2553540000,1.721,7.644,1,INTERSECTION,2.00
53,35.5447588333,129.2553555000,1.857,7.830,1,INTERSECTION,2.00
54,35.5447605000,129.2553575000,2.038,8.015,1,INTERSECTION,2.00
55,35.5447621667,129.2553591667,2.189,8.201,1,INTERSECTION,2.00
56,35.5447625000,129.2553516667,1.510,8.238,1,INTERSECTION,2.00
57,35.5447508333,129.2553300000,-0.453,6.939,1,INTERSECTION,2.00
58,35.5447531667,129.2553308333,-0.377,7.199,1,INTERSECTION,2.00
59,35.5447518333,129.2553258333,-0.830,7.050,1,INTERSECTION,2.00
60,35.5447533333,129.2553250000,-0.906,7.217,1,INTERSECTION,2.00
61,35.5447530000,129.2553233333,-1.057,7.180,1,INTERSECTION,2.00
62,35.5447546667,129.2553220000,-1.177,7.366,1,INTERSECTION,2.00
63,35.5447561667,129.2553220000,-1.177,7.533,1,INTERSECTION,2.00
64,35.5447578333,129.2553210000,-1.268,7.718,1,INTERSECTION,2.00
65,35.5447608333,129.2553200000,-1.359,8.052,1,INTERSECTION,2.00
66,35.5447616667,129.2553178333,-1.555,8.145,1,INTERSECTION,2.00
67,35.5447631667,129.2553166667,-1.661,8.312,1,INTERSECTION,2.00
68,35.5447645000,129.2553156667,-1.751,8.460,1,INTERSECTION,2.00
69,35.5447660000,129.2553146667,-1.842,8.627,1,INTERSECTION,2.00
70,35.5447678333,129.2553138333,-1.917,8.831,1,INTERSECTION,2.00
71,35.5447693333,129.2553131667,-1.978,8.998,1,INTERSECTION,2.00
